,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SM122,Toluene,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,788.914,13.818359999999974,788.914,13.818359999999974,1,0,0,0,0,0,0,0,1,0,0.80048573,0.96532845,0.97088635,1.0,0.94069004,0.935478114,0.838187643695143,1.032768584304857
1,1,1,1,1,1,1,SM122,Toluene,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,778.998,9.224400000000005,778.998,9.224400000000005,1,0,0,0,0,0,0,0,1,0,0.8076912,0.9280304,0.85559464,1.0,0.9459158,0.907446408,0.8130687747076253,1.0018240412923747
2,2,2,2,2,2,2,SM122,Toluene,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,1,0,0,0,0,0,0,0,1,0,0.85182357,0.9780706,1.0,1.0,0.9868471,0.9633482540000001,0.8850805684909961,1.041615939509004
3,3,3,3,3,3,3,SM122,Toluene,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000004,286.33,5.071200000000004,1,0,0,0,0,0,0,0,1,0,0.73532283,0.8795251,0.8992395,0.8756323,0.8179424,0.841532426,0.7587652080778413,0.9242996439221587
4,4,4,4,4,4,4,SM122,Toluene,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,312.436,5.409760000000005,312.436,5.409760000000005,1,0,0,0,0,0,0,0,1,0,0.7653628,0.87944937,0.9247308,0.9185596,0.83986104,0.865592722,0.7841643490696564,0.9470210949303437
5,5,5,5,5,5,5,SM122,Toluene,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,1,0,0,0,0,0,0,0,1,0,0.18980101,0.480951,0.5699462,0.5611828,0.4223827,0.44485274199999997,0.2524544828234163,0.6372510011765836
6,6,6,6,6,6,6,SM122,Toluene,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,360.406,2.948800000000001,360.406,2.948800000000001,1,0,0,0,0,0,0,0,1,0,0.3461684,0.69940424,0.73037237,0.80194056,0.62279344,0.6401358020000001,0.4210306908239361,0.8592409131760641
7,7,7,7,7,7,7,SM122,Toluene,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.311,3.6658000000000017,332.311,3.6658000000000017,1,0,0,0,0,0,0,0,1,0,0.815001,0.8455626,0.83773184,0.898679,0.8274876,0.8448924080000001,0.8049408004616307,0.8848440155383694
8,8,8,8,8,8,8,SM122,Toluene,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.9800000000001,4.2893,511.9800000000001,4.2893,1,0,0,0,0,0,0,0,1,0,0.6407625,0.954129,0.86112356,0.9601785,0.846629,0.852564512,0.6920284782223699,1.01310054577763
9,9,9,9,9,9,9,SM122,Toluene,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.18,CF,organocatalyst,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,1,0,0,0,0,0,0,0,1,0,0.7997253,0.8911129,0.8605825,0.94203115,0.9106729,0.88082495,0.8135860901778577,0.9480638098221424
