,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethyl acetate,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,0,0,1,0,0,1,0,0.46332672,0.6023791,0.47403067,0.7558994,0.40347934,0.5398230460000001,0.3649156187843242,0.714730473215676
1,1,1,1,1,1,1,SS336,Ethyl acetate,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,0,0,1,0,0,1,0,0.7198964,0.70008844,0.50674653,0.8169392,0.57781416,0.664296946,0.5122585054314278,0.8163353865685722
2,2,2,2,2,2,2,SS336,Ethyl acetate,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,0,0,1,0,0,1,0,0.6525046,0.7895124,0.74923503,0.7096058,0.7668416,0.733539886,0.6665940942523519,0.800485677747648
3,3,3,3,3,3,3,SS336,Ethyl acetate,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,0,0,1,0,0,1,0,0.39198956,0.39015722,0.34461898,0.4126357,0.23391283,0.354662858,0.26535054495060595,0.4439751710493941
4,4,4,4,4,4,4,SS336,Ethyl acetate,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,0,0,1,0,0,1,0,0.4342155,0.39053965,0.37829798,0.4371983,0.28487659,0.38502560399999997,0.30836573053116617,0.46168547746883376
5,5,5,5,5,5,5,SS336,Ethyl acetate,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,0,0,1,0,0,1,0,0.07688472,0.31596643,0.12199181,0.21386573,0.07190469,0.16012267600000002,0.030875466165846993,0.289369885834153
6,6,6,6,6,6,6,SS336,Ethyl acetate,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,0,0,1,0,0,1,0,0.22671178,0.3760777,0.2655347,0.3528644,0.11326212,0.26689014,0.13587957874352494,0.39790070125647503
7,7,7,7,7,7,7,SS336,Ethyl acetate,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,0,0,1,0,0,1,0,0.5193959,0.5186783,0.5009852,0.49603227,0.33859527,0.47473738800000004,0.3793587548732716,0.5701160211267284
8,8,8,8,8,8,8,SS336,Ethyl acetate,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,0,0,1,0,0,1,0,0.40177956,0.60158646,0.44411367,0.5898435,0.3037765,0.4682199380000001,0.3104064461452474,0.6260334298547527
9,9,9,9,9,9,9,SS336,Ethyl acetate,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,0,0,1,0,0,1,0,0.6241456,0.6453738,0.62485415,0.82374656,0.57043886,0.657711794,0.537419848572021,0.7780037394279791
10,10,10,10,10,10,10,SS336,Ethyl acetate,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,115.18,0.0443699999999998,115.18,0.0443699999999998,0,0,0,0,0,1,0,0,1,0,0.3743711,0.36766917,0.53374124,0.41171128,0.5932338,0.456145318,0.3299715209713323,0.5823191150286677
11,11,11,11,11,11,11,SS336,Ethyl acetate,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,201.266,1.3781999999999996,201.266,1.3781999999999996,0,0,0,0,0,1,0,0,1,0,0.07339418,0.27505878,0.037352264,0.19211042,0.12911105,0.1414053388,0.023548666065257906,0.2592620115347421
12,12,12,12,12,12,12,SS336,Ethyl acetate,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,242.4709999999999,5.003600000000005,242.4709999999999,5.003600000000005,0,0,0,0,0,1,0,0,1,0,0.46496627,0.44975707,0.35711917,0.40059137,0.46232784,0.42695234399999993,0.3687524882072004,0.48515219979279944
13,13,13,13,13,13,13,SS336,Ethyl acetate,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,317.483,3.7971800000000018,317.483,3.7971800000000018,0,0,0,0,0,1,0,0,1,0,0.5786002,0.4690323,0.36894765,0.6009267,0.41663003,0.48682737600000003,0.3617626706918599,0.6118920813081401
14,14,14,14,14,14,14,SS336,Ethyl acetate,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,385.46400000000017,2.706100000000001,385.46400000000017,2.706100000000001,0,0,0,0,0,1,0,0,1,0,0.48141068,0.49913597,0.40558758,0.6028175,0.37576514,0.472943374,0.3625723506077543,0.5833143973922458
15,15,15,15,15,15,15,SS336,Ethyl acetate,O=c(c(N[C@@H](c(ccn1)c2c1ccc(OC)c2)[C@H]3N4CCC(C3)C(C#C)C4)c5Nc6cc(C(F)(F)F)cc(C(F)(F)F)c6)c5=O,O=c(c(N[C@@H](c(ccn1)c2c1ccc(OC)c2)[C@H]3N4CCC(C3)C(C#C)C4)c5Nc6cc(C(F)(F)F)cc(C(F)(F)F)c6)c5=O,0.5,30,25,1.0,CF,organocatalyst,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,628.5730000000003,6.117400000000004,628.5730000000003,6.117400000000004,0,0,0,0,0,1,0,0,1,0,0.5688538,0.6374652,0.54442275,0.735262,0.72819096,0.642838942,0.5335030170375546,0.7521748669624454
