,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Toluene,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,0,0,1,0,0,1,0,0.4234902,0.5795377,0.59674734,0.81394076,0.85288966,0.653321132,0.4319937769286226,0.8746484870713773
1,1,1,1,1,1,1,SS336,Toluene,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,0,0,1,0,0,1,0,0.66372585,0.5729486,0.5599712,0.8382937,0.84145045,0.69527796,0.5240275258919723,0.8665283941080276
2,2,2,2,2,2,2,SS336,Toluene,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,0,0,1,0,0,1,0,0.5594218,0.70199925,0.8175291,0.7754253,0.8681458,0.74450425,0.5954552206143409,0.8935532793856591
3,3,3,3,3,3,3,SS336,Toluene,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,0,0,1,0,0,1,0,0.47192988,0.48481357,0.47105724,0.4587336,0.27291363,0.431889584,0.32094943494207095,0.542829733057929
4,4,4,4,4,4,4,SS336,Toluene,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,0,0,1,0,0,1,0,0.4234654,0.41241133,0.5051538,0.49702206,0.29465508,0.42654153399999994,0.32127333103510564,0.5318097369648942
5,5,5,5,5,5,5,SS336,Toluene,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,0,0,1,0,0,1,0,0.010152519,0.11549586,0.27317393,0.19212997,0.01630038,0.12145053180000001,-0.01943160149700579,0.2623326650970058
6,6,6,6,6,6,6,SS336,Toluene,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,0,0,1,0,0,1,0,0.23569158,0.3368208,0.44864044,0.41637725,0.1476582,0.317037654,0.16135159900999893,0.47272370899000105
7,7,7,7,7,7,7,SS336,Toluene,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,0,0,1,0,0,1,0,0.51429814,0.38974017,0.53089565,0.51582026,0.28386027,0.44692289799999996,0.31348448259744366,0.5803613134025563
8,8,8,8,8,8,8,SS336,Toluene,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,0,0,1,0,0,1,0,0.45933348,0.5037514,0.5030081,0.60890204,0.31829667,0.47865833800000007,0.34802473804271794,0.6092919379572822
9,9,9,9,9,9,9,SS336,Toluene,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.798,CF,organocatalyst,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,0,0,1,0,0,1,0,0.5730019,0.6266953,0.4509562,0.8232218,0.58994657,0.6127643540000001,0.44528925136425623,0.7802394566357439
