,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,rejection_mcmpnn_combi_ft_v40_fold1,rejection_mcmpnn_combi_ft_v40_fold2,id_original,is_augmented,loss_weight,rejection_mcmpnn_combi_ft_v40_fold0,rejection_mcmpnn_combi_ft_v40_fold3,rejection_mcmpnn_combi_ft_v40_fold4,Unnamed: 0.1
0,0,0,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,988.813,14.855389999999968,258.035,0.60719,0.01,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,0,0,0,0.9810359,0.96526474,0.0,0.0,1.5097393741553815,0.9510436,0.9546273,0.96181643,799.0
1,1,1,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,780.6470000000002,9.035990000000002,258.035,0.60719,0.01,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,0,0,0,0.97781456,0.95234823,1.0,0.0,1.5097393741553815,0.9545905,0.9498979,0.9608419,567.0
2,2,2,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.94,726.5990000000002,8.290990000000008,258.035,0.60719,0.01,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.2146701649892326,0,0,0,0.9408263,0.9414698,2.0,0.0,1.471612316647284,0.94588864,0.9225335,0.9271122,3617.0
3,3,3,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,ligand,0.98,786.7980000000002,14.85679999999997,988.813,14.855389999999968,0.2,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.6777807052660805,0,0,0,1.0,0.9539089,3.0,0.0,1.5232478365296451,0.9510188,0.98302066,0.96626693,4216.0
4,4,4,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,ligand,0.95,578.6320000000002,7.634600000000009,780.6470000000002,9.035990000000002,0.2,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.2924298239020633,0,0,0,0.96337694,0.95212704,4.0,0.0,1.4845211966178744,0.9463408,0.9415679,0.94421464,3654.0
5,5,5,Toluene,2.0,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,ligand,0.66,262.292,3.4448000000000016,726.5990000000002,8.290990000000008,0.2,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.4672456210075023,0,0,0,0.80228263,0.7991847,5.0,0.0,1.1101636774707582,0.6571145,0.8009076,0.7991328,1829.0
6,6,6,Ethanol,0.09435,30.0,300,59.0,-37.5,0,0,50.0,C(C)O,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,metal_catalyst,0.9802,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0.5,cat,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,0,0,0,0,0,DM300,1,0,CF,1.6819366650372376,0,0,0,0.9784895,0.9694431,6.0,0.0,1.5235060141290568,0.9697436,0.99672914,1.0,2177.0
7,7,7,Toluene,0.06,40.0,220,-1.0,0.0,1,1,30.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.996,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,0.9980439,0.9873846,7.0,0.0,1.5432891380255014,0.99084806,0.9842453,0.9714561,645.0
8,8,8,Toluene,0.06,40.0,220,-1.0,0.0,1,1,30.0,Cc1ccccc1,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,metal_catalyst,0.984,738.8500000000001,11.02541999999999,738.8500000000001,11.02541999999999,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.7695510786217257,0,0,0,0.99439836,0.99273086,8.0,0.0,1.5284113885178812,0.9884435,0.98411036,0.984195,1894.0
9,9,9,Toluene,0.06,40.0,220,-1.0,0.0,1,1,30.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,metal_catalyst,0.993,927.0759999999992,12.62387999999998,927.0759999999992,12.62387999999998,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.096910013008056,0,0,0,0.99306434,0.9888283,9.0,0.0,1.5394180114251028,0.9944502,0.9904163,1.0,109.0
