,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
0,1.0,0.9855701290460326,0.14855542937381258,6.879944829173414,3000.0000055377886,10.294993484086005,14.96377331462248,39.99999989842417,3.052653132447283e-08,8.567898655091727e-07,3.506430415057336e-08,9.324212205233963e-07,5.1124140797334355e-08,7.080140082061104,7.484777797427284e-09,0.25656331857147047
1,1.0,0.9855701290460319,0.14855542937381794,6.879944829173378,3000.0000055377886,10.294993484085927,14.963773314622442,39.99999989842417,3.052653205365689e-08,8.567898655092047e-07,3.50643050120482e-08,9.32421220523429e-07,5.112414169089076e-08,7.080140082057239,7.48478465378183e-09,0.2565633185715516
2,1.0,0.985570129046032,0.14855542937381788,6.879944829173415,3000.0000055377886,10.294993484085996,14.963773314622463,39.99999989842417,3.052653132469417e-08,8.567898655091938e-07,3.506430415085492e-08,9.324212205234071e-07,5.112414079812344e-08,7.080140082057208,7.484777799819351e-09,0.25656331857156106
3,1.0,0.985570129046032,0.14855542937381794,6.87994482917339,3000.0000055377886,10.294993484085952,14.963773314622456,39.99999989842417,3.05265314560455e-08,8.567898655092019e-07,3.506430424742209e-08,9.324212205234222e-07,5.112414060770078e-08,7.080140082057222,7.484782636297722e-09,0.25656331857155507
4,1.0,0.985570129046032,0.14855542937381788,6.879944829173413,3000.0000055377886,10.294993484085992,14.963773314622467,39.99999989842417,3.052653132355884e-08,8.567898655091936e-07,3.506430414921841e-08,9.324212205234071e-07,5.1124140794948785e-08,7.0801400820572296,7.48477779198938e-09,0.2565633185715607
5,1.0,0.9778629416068122,0.19999999159700635,6.129546454464521,2401.317973369419,9.034623521955746,14.73946496546491,40.0000000966211,3.7774803875575475e-08,8.461418309630897e-07,4.358043748149182e-08,9.033805585268923e-07,5.9461192391104825e-08,4.789082346325589e-06,7.53865286611703e-09,0.4097896739606546
6,1.0,0.9778629416068121,0.19999999159700635,6.129546454464516,2401.3179733694196,9.034623521955735,14.739464965464904,40.0000000966211,3.777480398612958e-08,8.461418281020971e-07,4.358043775077588e-08,9.033805578858781e-07,5.946119319911094e-08,4.789082337084566e-06,7.538654260313197e-09,0.4097896739606534
7,1.0,0.977862941606812,0.19999999159700635,6.129546454464513,2401.3179733694205,9.034623521955728,14.7394649654649,40.0000000966211,3.7774804027429424e-08,8.461418270205952e-07,4.358043784450304e-08,9.033805576436673e-07,5.946119345981434e-08,4.7890823335902225e-06,7.538654796099123e-09,0.4097896739606527
8,1.0,0.977862941606812,0.19999999159700635,6.129546454464513,2401.31797336942,9.03462352195573,14.739464965464903,40.0000000966211,3.7774803985309864e-08,8.461418281040232e-07,4.358043774949432e-08,9.03380557886471e-07,5.946119319607221e-08,4.78908233709567e-06,7.53865425705175e-09,0.40978967396065297
9,1.0,0.9778629416068079,0.19999999159700635,6.129546454463689,2401.317973369237,9.034623521954018,14.739464965464043,40.00000009662102,3.7774823415601294e-08,8.461433753810273e-07,4.358046849055614e-08,9.033809026799024e-07,5.9461275656343646e-08,4.789087235378905e-06,7.538757034151433e-09,0.40978967396039556
10,1.0,0.9567966967379812,0.29999999236520936,4.8475940557221575,1605.4179402916272,6.943913148849977,14.324452644065092,39.99999997231618,5.602746869755374e-08,1.2263031287099414e-06,6.36608211092575e-08,1.2969057400785016e-06,8.326204951394909e-08,5.589135234066838e-06,1.340463689360116e-08,0.4657927488508918
