,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
0,1.0,0.9874836540141487,0.1478990445893325,10.929539608827739,3000.000016615659,11.816471344672554,10.811499630897943,40.0000001593788,1.3991263724852081e-08,4.2053617482916846e-07,1.630588816973086e-08,4.623117232318902e-07,2.492719540989466e-08,7.664900616320695,4.200541216335776e-09,0.2399243395408694
1,1.0,0.9874836540140641,0.14789904459029868,10.92953960882578,3000.000016615659,11.816471344669806,10.811499630897366,40.0000001593788,1.3991272056036563e-08,4.205361748312148e-07,1.63058967418463e-08,4.623117232341176e-07,2.4927201938009725e-08,7.664900615593723,4.2007375218246325e-09,0.23992433955816916
2,1.0,0.9874836540140647,0.14789904459029757,10.929539608826152,3000.000016615659,11.81647134467023,10.811499630897385,40.0000001593788,1.3991270486238376e-08,4.205361748311804e-07,1.63058951187503e-08,4.623117232340554e-07,2.4927200824821195e-08,7.664900615594278,4.200699764737412e-09,0.2399243395582032
3,1.0,0.9874836540140647,0.14789904459029757,10.929539608826206,3000.000016615659,11.816471344670292,10.811499630897387,40.0000001593788,1.3991270245144705e-08,4.205361748311753e-07,1.6305894866188835e-08,4.62311723234046e-07,2.4927200649339034e-08,7.664900615594216,4.2006940181516554e-09,0.23992433955821157
4,1.0,0.9874836540140643,0.14789904459029837,10.929539608825886,3000.000016615659,11.816471344669928,10.811499630897373,40.0000001593788,1.3991271573993992e-08,4.2053617483120515e-07,1.6305896243464934e-08,4.623117232340998e-07,2.4927201598146937e-08,7.664900615593892,4.2007262404814824e-09,0.239924339558179
5,1.0,0.9805974901760688,0.199999990888575,9.560509773344828,2402.734139335353,10.307944242200588,10.781793530447231,40.000000242756606,1.7001239630754997e-08,4.276929004905513e-07,2.0150864143638142e-08,4.613523392799744e-07,2.875376764467799e-08,2.7440546658591365e-06,1.655207869006008e-09,0.40503256079127553
6,1.0,0.9805974901760667,0.199999990888575,9.560509773344025,2402.734139335353,10.307944242199342,10.781793530446835,40.000000242756606,1.7001256901875482e-08,4.2769289967380107e-07,2.015089774638855e-08,4.613523395018352e-07,2.8753843664609903e-08,2.7440546747502033e-06,1.6552828802072585e-09,0.4050325607911679
7,1.0,0.9805974901760688,0.199999990888575,9.56050977334483,2402.734139335353,10.307944242200588,10.781793530447233,40.000000242756606,1.700123962906686e-08,4.276929004912349e-07,2.015086414168086e-08,4.6135233928001e-07,2.875376764394393e-08,2.7440546658594135e-06,1.6552078587338012e-09,0.40503256079127536
8,1.0,0.9805974901760667,0.199999990888575,9.560509773344023,2402.734139335353,10.30794424219934,10.781793530446835,40.000000242756606,1.7001256901305587e-08,4.276928996739544e-07,2.015089774638135e-08,4.613523395018479e-07,2.8753843664458708e-08,2.744054674750163e-06,1.655282880039546e-09,0.40503256079116773
9,1.0,0.9805974901760742,0.199999990888575,9.56050977334753,2402.7341393353504,10.307944242203384,10.781793530447112,40.000000242756606,1.70012204886066e-08,4.27692909326251e-07,2.0150906750796382e-08,4.6135234126393817e-07,2.875380565923386e-08,2.7440547532005865e-06,1.6548470362147727e-09,0.40503256079160826
