,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
0,1.0,0.6139698786405555,0.6789799787656463,1.4999999850013142,349.61930095305297,1.7588782357880708,11.72585502250208,32.56007536167463,-2.454953812876217e-10,-9.239311239876955e-09,-2.4281017152947427e-10,-9.361713568341976e-09,-2.023962203979966e-10,26.166445198235287,-9.033062355864077e-11,1.0000000099712871
1,1.0,0.6174167101134386,0.6730192248117609,1.4999999850035257,352.4288097040917,1.7591443292197775,11.727628978713907,32.841347393614775,-2.1586021253775506e-10,-7.939877856629393e-09,-2.0238123632484413e-10,32.27439641793514,-2.0264624277262167e-10,-8.256997276812159e-09,1.0000000040900276,-8.349659676435185e-11
2,1.0,0.6499563966673948,0.6012189818375387,1.4999999850043344,290.97273886946857,1.7175545451242815,11.450363748632425,23.2137508119415,-3.0825538301672214e-10,-7.150556540469859e-09,-2.9946072012477525e-10,-7.469372186051497e-09,-2.6139460594862924e-10,-7.951273093673136e-09,-1.6488661162938113e-10,-1.624634721923063e-10
3,1.0,0.6499563966673779,0.6012189818375486,1.4999999850043344,290.9727388694837,1.7175545451241276,11.4503637486314,23.213750811942234,-3.0824658594695505e-10,-7.150556540807002e-09,-2.992801260483065e-10,-7.469372186260674e-09,-2.6106268464732787e-10,-7.951273093672319e-09,-1.6488661166929089e-10,-1.624634427335868e-10
4,1.0,0.6499563966677238,0.6012189818371985,1.4999999850043344,290.97273886892856,1.7175545451277985,11.450363748655873,23.213750811914586,-3.082467626783041e-10,-7.150556540359355e-09,-3.1465979012642e-10,-7.469372186108661e-09,-2.6126872535428893e-10,-7.951273093674344e-09,-1.6488661164088581e-10,-1.6246346569644555e-10
5,1.0,0.8230049330491218,0.45303836719008234,1.9999999800041666,582.4283200049028,2.5596101350865816,12.798050803386754,29.223719494892364,-2.5756448826674434e-10,-7.984993713487264e-09,-2.5485254090425006e-10,-8.330646682884841e-09,-2.3679767827208965e-10,-8.870766438110192e-09,-1.053117218512505e-10,-8.827562321181165e-11
6,1.0,0.823004933050144,0.4530383671891951,1.9999999800041666,582.4283200036186,2.559610135104711,12.798050803477402,29.223719494834604,-2.581898914557967e-10,-7.984993722902376e-09,-2.5203560844163756e-10,-8.330646687660555e-09,-2.683773843385567e-10,-8.870766437524349e-09,-1.0531172188686609e-10,-8.826877714043682e-11
7,1.0,0.8230049330491196,0.45303836719008383,1.9999999800041666,582.4283200049052,2.5596101350865426,12.798050803386557,29.22371949489246,-2.575697510348658e-10,-7.984993713657342e-09,-2.5487013406873975e-10,-8.330646682968786e-09,-2.367182845921399e-10,-8.87076643809238e-09,-1.0531172188508134e-10,-8.827559472043079e-11
8,1.0,0.8230049330491236,0.45303836719008045,1.9999999800041666,582.4283200049003,2.5596101350866123,12.798050803386909,29.223719494892247,-2.575653709160338e-10,-7.984993713476709e-09,-2.5486471344709424e-10,-8.330646682874901e-09,-2.3684052066444717e-10,-8.870766438126558e-09,-1.053117218757445e-10,-8.827566979107496e-11
9,1.0,0.823004933049058,0.4530383671901312,1.9999999800041666,582.4283200049653,2.559610135085471,12.798050803381203,29.223719494895313,-2.578546027822329e-10,-7.984993716848787e-09,-2.5496954852292003e-10,-8.330646684701075e-09,-2.34759348973832e-10,-8.87076643745833e-09,-1.0531172192256872e-10,-8.827417356545108e-11
10,1.0,0.8879208728239616,0.39622227377296876,2.4999999750014803,900.1005920290223,3.5352012795594705,14.140805259637563,34.23129854838491,-2.4002607992615553e-10,-9.479332282420273e-09,-2.410940689348053e-10,-9.592740631125506e-09,-2.382686196901413e-10,-9.559988200475312e-09,-8.284888656293245e-11,0.24451137088127523
11,1.0,0.8879208728239615,0.3962222737729691,2.4999999750014803,900.1005920290222,3.5352012795594714,14.140805259637565,34.23129854838492,-2.40026079925899e-10,-9.479332282420276e-09,-2.4109406894074324e-10,-9.59274063112551e-09,-2.382686195572786e-10,-9.559988200475303e-09,-8.284888656293265e-11,0.24451137088127647
12,1.0,0.8879208728239614,0.3962222737729697,2.4999999750014803,900.1005920290222,3.535201279559472,14.140805259637569,34.23129854838495,-2.40026079926174e-10,-9.479332282420278e-09,-2.4109406893437504e-10,-9.592740631125508e-09,-2.3826861970979614e-10,-9.559988200475305e-09,-8.284888656293227e-11,0.24451137088127925
13,1.0,0.8879208728239617,0.3962222737729685,2.4999999750014803,900.1005920290221,3.53520127955947,14.140805259637563,34.2312985483849,-2.40026079926174e-10,-9.479332282420275e-09,-2.410940689343836e-10,-9.592740631125505e-09,-2.3826861971033164e-10,-9.559988200475322e-09,-8.284888656293254e-11,0.2445113708812739
14,1.0,0.8879208728239615,0.3962222737729697,2.4999999750014803,900.100592029022,3.535201279559471,14.140805259637565,34.23129854838495,-2.4002607992617817e-10,-9.479332282420275e-09,-2.4109406893431734e-10,-9.592740631125508e-09,-2.382686197041821e-10,-9.559988200475302e-09,-8.284888656293227e-11,0.24451137088127875
15,1.0,0.912484228543439,0.4144847851511701,2.999999970004814,1168.1276147954923,4.736115311333335,15.787051195622963,40.000000398832704,-1.9869145066834517e-10,-9.167269210406692e-09,-1.991468584290752e-10,-9.334266965973729e-09,-1.970538678165548e-10,-6.649842690595795e-09,-5.827150814982582e-11,0.5820411624841545
16,1.0,0.9124842285434392,0.4144847851511704,2.999999970004814,1168.1276147954914,4.7361153113333545,15.787051195623025,40.000000398832704,-1.9869142898830346e-10,-9.167269210414106e-09,-1.9914674863294037e-10,-9.334266965981226e-09,-1.9706605631848917e-10,-6.649842690062118e-09,-5.827150814985532e-11,0.5820411624841572
17,1.0,0.9124842285434394,0.41448478515117176,2.999999970004814,1168.1276147954875,4.7361153113333945,15.787051195623157,40.000000398832704,-1.9869133495974064e-10,-9.167269210430349e-09,-1.9914711360450167e-10,-9.334266966003024e-09,-1.9709050825803956e-10,-6.649842688573828e-09,-5.827150815002439e-11,0.5820411624841633
18,1.0,0.9124842285434392,0.41448478515117065,2.999999970004814,1168.1276147954907,4.736115311333355,15.787051195623029,40.000000398832704,-1.9869142713465365e-10,-9.167269210414715e-09,-1.9914673870519036e-10,-9.334266965981812e-09,-1.9706692956514823e-10,-6.649842690024597e-09,-5.827150814985787e-11,0.5820411624841575
19,1.0,0.9124842285434392,0.41448478515117076,2.999999970004814,1168.1276147954904,4.7361153113333545,15.787051195623027,40.000000398832704,-1.9869142823246534e-10,-9.167269210414358e-09,-1.9914673634099932e-10,-9.33426696598145e-09,-1.9706640192690063e-10,-6.649842690047864e-09,-5.827150814985751e-11,0.5820411624841578
20,1.0,0.9426346699969593,0.32877184297932793,3.4999999650036786,1466.8322792043095,5.73119413737076,16.374840556219084,40.00000039980476,-2.0461217557848382e-10,-9.595116071499464e-09,-2.054407483981818e-10,-9.650368829962292e-09,-2.0417502184746453e-10,-9.362166850401112e-09,-6.028759009905513e-11,0.5019768459674357
21,1.0,0.9426346699969593,0.3287718429793278,3.4999999650036786,1466.83227920431,5.73119413737076,16.37484055621908,40.00000039980476,-2.0461217558309934e-10,-9.595116071499507e-09,-2.054407484900955e-10,-9.65036882996225e-09,-2.041748651470716e-10,-9.362166850402753e-09,-6.028759117411218e-11,0.5019768459674353
22,1.0,0.9426346699969594,0.32877184297932777,3.4999999650036786,1466.8322792043102,5.731194137370759,16.374840556219077,40.00000039980476,-2.0461217505182328e-10,-9.595116071499647e-09,-2.0544074799520735e-10,-9.650368829962428e-09,-2.0417505318323725e-10,-9.362166850396291e-09,-6.028760120828404e-11,0.5019768459674349
23,1.0,0.9426346699969596,0.3287718429793297,3.4999999650036786,1466.8322792043011,5.731194137370837,16.3748405562193,40.00000039980476,-2.04612157819098e-10,-9.595116071513484e-09,-2.0544041901418442e-10,-9.650368829977064e-09,-2.042136032899789e-10,-9.362166850004698e-09,-6.02877748994473e-11,0.5019768459674455
24,1.0,0.9426346699969593,0.32877184297932754,3.4999999650036786,1466.832279204311,5.731194137370762,16.374840556219088,40.00000039980476,-2.046121750056216e-10,-9.595116071499386e-09,-2.054407243499521e-10,-9.650368829962525e-09,-2.041760320662834e-10,-9.362166850380532e-09,-6.028764922483768e-11,0.501976845967435
25,1.0,0.9616072985040602,0.25900008223445314,3.999999960002816,1857.2977439277324,6.746076003008723,16.865190176161835,40.000000399916715,-2.0771432437778862e-10,-9.773442814263558e-09,-2.0885525903181414e-10,-9.796887697242008e-09,-2.0832719376314047e-10,-9.723248494944109e-09,-6.12608087226708e-11,0.4515669203036458
