Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EXTRACTION_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EXTRACTION_ENERGY_THERMAL,EXTRACTION_ENERGY_ELECTRIC
0.0,1.0,0.9869554967900548,0.1597803547736017,7.146205700566817,3000.000007094995,12.248864535203609,17.14037497442472,40.0000001760876,2.9522245679060285e-08,7.523527811674934e-07,3.466094820514859e-08,7.058719737656527e-07,4.992072628181077e-08,7.274388911757294e-07,4.912702493908369e-09,0.3839338219460089,468653570172.7106,0.9999288742569488,0.999930504906866,0.9999292598172721,0.9998072410370702,0.9998575115294238,83.33333353041652,0.9997223047049871,0.9993901549606046,0.9994956809910088,0.9993734112446448,884187.7872573689,241548.89163054104,273467.2297978465,205100.34129314322,33333333.41216661,468653570172.7106,0.0
5.0,1.0,0.981466258301011,0.1999999914881591,6.399281031828445,2398.55980220537,10.79112851717166,16.863032680553527,40.00000022673799,3.4528462740575694e-08,7.102702325287637e-07,4.023819056774606e-08,6.705384461640208e-07,5.6181037526896984e-08,6.70008579910487e-07,6.462413290084867e-09,0.39861384886002,468653570172.7106,0.9999431335507396,0.9999444388773706,0.9999434434034229,0.9998458869565516,0.9998860792171885,66.62666117237139,0.9997780469736017,0.9995126725849937,0.9995970129005536,0.999499331134706,1106790.5490036947,302363.04233639396,342313.45025612356,256735.00657413725,26650664.468948554,468653570172.7106,0.0
10.0,1.0,0.9632264542282508,0.2999999922117812,5.02369782700563,1603.0481235493542,8.158038057842125,16.239109792793787,40.00000015296934,5.1301560782393306e-08,9.956261346268992e-07,5.881788646163386e-08,9.223997401975122e-07,7.834582152603016e-08,1.022549734066555e-06,1.1668420424961812e-08,0.4472486356210901,468653570172.7106,0.9999619940037785,0.9999628698360131,0.999962204523169,0.9998970038644431,0.9999238658705254,44.529114543037615,0.999851811375671,0.999674853278025,0.9997311566270958,0.9996660349225815,1660258.319178865,453568.13582748035,513489.06706395926,385116.7189766778,17811645.817215044,468653570172.7106,0.0
15.0,1.0,0.9368485211613816,0.3999999929456614,4.045834062183654,1206.5476117295473,6.33397646746537,15.65555178524762,40.0000000482261,7.609697502551067e-08,1.3956415739475692e-06,8.581461620393648e-08,1.2600004656037669e-06,1.1006260833779799e-07,1.5726046020028362e-06,1.981042778065356e-08,0.5174128485878984,5612769349.027189,0.9976115026752175,0.9976668486023464,0.9976250368329849,0.9935274834355462,0.9952156336235215,33.51521143693187,0.9907004133690226,0.9796149977924433,0.9831476884236364,0.9790695050630418,26367.589131915956,7195.89916760161,8162.06236350937,6121.465163096086,13406084.57477275,5612769349.027189,0.0
20.0,1.0,0.8988711465966792,0.4999999936604459,3.2843745431541462,970.0974465212176,4.944187092052485,15.053664030041672,39.99999989180363,1.1484819534692073e-07,1.986227373485336e-06,1.261227203437317e-07,1.7266994707398027e-06,1.549731441102119e-07,2.514328800209678e-06,3.3600960805540275e-08,0.6183147994092303,5612769349.027189,0.9980795824936632,0.998124427572736,0.9980908097608089,0.9947962641919509,0.9961535833485086,26.947151292256045,0.9925380666412451,0.9836654987324834,0.9864993923417565,0.9832367921819811,32995.39091415347,9006.548934436443,10211.933900914364,7658.86840529868,10778860.516902419,5612769349.027189,0.0
25.0,1.0,0.8737595995159685,0.5499999940168079,2.957641319671718,884.8203690131409,4.356766631738195,14.730544244534244,39.99999978087372,1.4351405968675552e-07,2.400480150302741e-06,1.544542062072809e-07,2.0331769519369347e-06,1.8549926796209578e-07,3.291751619940541e-06,4.463012294358683e-08,0.6850220086010765,5612769349.027189,0.9982483981040156,0.9982895071243573,0.9982588445091102,0.995253908214905,0.9964919113055023,24.578343583698356,0.9932030750124197,0.9851345646583525,0.9877154730312706,0.9847494408191062,36309.17390659535,9911.835490099971,11236.838939247498,8427.546913074339,9831337.433479343,5612769349.027189,0.0
30.0,1.0,0.843123200169683,0.5999999943785149,2.658804499793576,814.3470189016938,3.8246570237907256,14.384874947886011,39.99999963520512,1.827156558411025e-07,2.9403547407768325e-06,1.9128203951041945e-07,2.408807328927636e-06,2.245358209594809e-07,4.495754396531345e-06,6.076782473007345e-08,0.7664292601172075,5612769349.027189,0.9983879080633187,0.9984259728091367,0.998397752381361,0.9956321504593519,0.9967715502307918,22.62075052504705,0.9937545414172272,0.9863555639954058,0.9887265926320045,0.9860076938685339,39622.849041398564,10817.086983800249,12261.715862968473,9196.20427494135,9048300.210018821,5612769349.027189,0.0
35.0,1.0,0.8053834025712217,0.6499999947455176,2.383882309684475,755.4268753842913,3.3398998279746595,14.010338574208896,39.99999942254367,2.387757122849724e-07,3.6572975544232606e-06,2.400696217575363e-07,2.8911730687629383e-06,2.753841875418657e-07,6.659431860001491e-06,8.632207922234418e-08,0.8667799207994348,5612769349.027189,0.9985045471447764,0.9985401191403687,0.998513940534588,0.9959484371680773,0.997005398376474,20.98407987178587,0.994217908551065,0.9873848391328184,0.9895794101140143,0.9870696164364966,42936.38352713558,11722.292756847528,13286.556123568089,9964.834061302654,8393631.948714348,5612769349.027189,0.0
40.0,1.0,0.7583313620525586,0.6999999951268983,2.1298700327012314,705.805515830302,2.896527762843933,13.599551702083808,39.99999912322002,3.240102991703385e-07,4.664672049475743e-06,3.070900206262312e-07,3.495028608958206e-06,3.448013615421906e-07,1.13277962173576e-05,1.2998634875772034e-07,0.9920400679813888,5612769349.027189,0.9986027782327124,0.9986363166969658,0.9986118576725932,0.9962148732840734,0.9972024063931191,19.605708773063945,0.9946110410585247,0.9882622671856965,0.9903069932015545,0.9879764227409912,46249.730128369134,12627.43746010159,14311.347402859661,10733.427007327877,7842283.509225579,5612769349.027189,0.0
45.0,1.0,0.6889186001892632,0.7499999950039625,1.8556584087139345,664.4408169754965,2.410943903036166,12.992390688473062,39.99999814971402,9.064741288358048e-07,8.73067699505496e-06,6.769746574908784e-07,6.335191864515597e-06,7.059395344380926e-07,1.6305517950191052e-05,0.1745106813344535,0.9999999116116852,5612769349.027189,0.9986846643278774,0.9987166322589932,0.9986936066892405,0.9964371008534765,0.9973667582322415,18.45668936043046,0.9949442394982339,0.989013757949255,0.990931231763368,0.988755969784303,49562.69686205403,13532.45896660754,15336.039393339313,11501.945278704121,7382675.744172184,5612769349.027189,0.0
