,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
0,1.0,0.35488842842475016,0.9676673463355836,1.4173138180693932,9.537554950109229,1.4999999850457628,10.583400556194402,11.493449704022472,-7.111421727793198e-10,3.39307889744827e-09,-7.132147201637468e-10,3.264816126073847e-09,-7.150248096140329e-10,3.0793479892305277e-09,-3.982412111045118e-09,-4.0033460733901215e-09
1,1.0,0.3548884284247199,0.9676673463356289,1.4173138180693046,9.537554950131,1.4999999850457628,10.583400556195066,11.493449704037465,-7.111421922709519e-10,3.393078898725794e-09,-7.132147452669115e-10,3.2648161264773556e-09,-7.150248077435101e-10,3.0793479877505395e-09,-3.981406377856547e-09,-4.000150525706905e-09
2,1.0,0.35488842842474994,0.9676673463355836,1.4173138180693932,9.537554950109234,1.4999999850457628,10.583400556194402,11.493449704022476,-7.111421727853963e-10,3.393078897448637e-09,-7.132147201710769e-10,3.2648161260742077e-09,-7.150248096135918e-10,3.0793479892297866e-09,-3.9824120568623635e-09,-4.003344864008307e-09
3,1.0,0.35488842842471596,0.9676673463356348,1.4173138180692932,9.537554950133822,1.4999999850457628,10.58340055619515,11.493449704039415,-7.111421925391351e-10,3.393078898878935e-09,-7.132147458186518e-10,3.2648161266132515e-09,-7.150248076931257e-10,3.0793479874711807e-09,-3.98138743788358e-09,-3.999624305909194e-09
4,1.0,0.3548884284247201,0.9676673463356283,1.4173138180693052,9.537554950130803,1.4999999850457628,10.583400556195059,11.49344970403733,-7.11142192263638e-10,3.3930788987148323e-09,-7.132147452497153e-10,3.2648161264698217e-09,-7.150248077437443e-10,3.079347987768764e-09,-3.98141031223504e-09,-4.0001856756388484e-09
5,1.0,0.5213852621841596,0.9572294652766495,1.776695983685572,18.47885892881743,1.9999999801593449,11.256849784792962,16.855893447668493,-4.4727476687975494e-10,1.787856271323532e-08,-4.4863133559255614e-10,1.7564146523442474e-08,-4.501683335337082e-10,1.7064272712301515e-08,-1.6950763634247728e-09,-1.6986099647161922e-09
6,1.0,0.521385262184159,0.9572294652766505,1.776695983685569,18.478858928818024,1.9999999801593449,11.256849784792982,16.855893447668787,-4.4727476687521444e-10,1.787856271323352e-08,-4.486313355938371e-10,1.7564146523442186e-08,-4.5016833352878776e-10,1.706427271230363e-08,-1.6950606605759849e-09,-1.6985697480425898e-09
7,1.0,0.5213852621841589,0.9572294652766505,1.7766959836855682,18.478858928818028,1.9999999801593449,11.256849784792983,16.85589344766879,-4.4727476687518653e-10,1.7878562713233515e-08,-4.4863133559384075e-10,1.7564146523442182e-08,-4.5016833352874863e-10,1.706427271230365e-08,-1.695060640426638e-09,-1.6985696132443283e-09
8,1.0,0.5213852621841595,0.9572294652766495,1.776695983685572,18.478858928817434,1.9999999801593449,11.256849784792962,16.855893447668496,-4.472747668797537e-10,1.7878562713235388e-08,-4.486313355925569e-10,1.7564146523442437e-08,-4.5016833353370396e-10,1.7064272712301495e-08,-1.6950763659692606e-09,-1.6986099516340949e-09
9,1.0,0.521385262184159,0.9572294652766505,1.7766959836855687,18.478858928818045,1.9999999801593449,11.256849784792982,16.8558934476688,-4.472747668751912e-10,1.787856271323342e-08,-4.486313355938397e-10,1.7564146523442106e-08,-4.5016833352875695e-10,1.7064272712303785e-08,-1.695060638584218e-09,-1.6985677899724087e-09
