,iso_alpha,country,e_kg_co2_eq,h_kg_co2_eq,s_e_usd_kwh,s_h_usd_kwh,co2_reduction_efuel,cost_reduction_efuel
0,ALB,Albania,0.11,0.457,0.136,,0.9617010515639849,
1,DZA,Algeria,0.669,0.457,0.034,0.004,0.942995843799484,-6.081253010160622
2,AGO,Angola,0.248,0.457,0.012,,0.9544357702967304,
3,ARG,Argentina,0.398,0.457,0.044,0.007,0.9491106640280059,-4.280460375385277
4,ARM,Armenia,0.271,0.457,0.084,,0.9534823222166772,
5,AUS,Australia,0.959,0.457,0.3,0.036,0.9389922241752365,0.13873089290479318
6,AUT,Austria,0.256,0.457,0.585,0.263,0.9540974346402524,0.6377363566180256
7,AZE,Azerbaijan,0.2,0.457,0.065,0.014,0.9566314287571468,-2.4204983664850066
8,BHR,Bahrain,0.569,0.457,0.077,0.013,0.9448866089235268,-2.0188533532599022
9,BGD,Bangladesh,0.815,0.457,0.083,0.01,0.9407571821892947,-1.9332680613534647
10,BLR,Belarus,0.656,0.457,0.118,0.025,0.9432229225506163,-0.9181387738499249
11,BEL,Belgium,0.203,0.457,0.335,0.157,0.9564852412371938,0.4142826931326916
12,BEN,Benin,0.597,0.457,,,0.9443220077148121,
13,BOL,Bolivia,0.437,0.457,,,0.9480095518929774,
14,BIH,Bosnia and Herzegovina,0.794,0.457,0.113,,0.9410477434324416,
15,BWA,Botswana,1.16,0.457,0.114,,0.937044910336368,
16,BRA,Brazil,0.158,0.457,0.152,0.127,0.9588209983910025,0.024923249823475335
17,BGR,Bulgaria,0.523,0.457,0.19,0.101,0.9458821753923453,0.048963949436065975
18,KHM,Cambodia,0.672,0.457,0.148,,0.9429441648726518,
19,CMR,Cameroon,0.057,0.457,0.154,,0.9654722932200697,
20,CAN,Canada,0.18,0.457,0.101,0.035,0.9576396541774318,-0.9969068453185739
21,CHL,Chile,0.572,0.457,0.13,0.076,0.9448246869150855,-0.31971852546758517
22,CHN,China,0.899,0.457,0.088,0.045,0.9396830309747112,-1.024211370016966
23,COL,Colombia,0.233,0.457,0.177,0.053,0.9550904344494113,-0.20784663708876647
24,COG,Congo,0.01,0.457,,,0.9694904587069502,
25,COD,"Congo, Democratic Republic of the",0.0178,0.457,0.08,,0.968771758173587,
26,CRI,Costa Rica,0.0407,0.457,0.183,,0.9667846469229514,
27,CIV,Cote d'Ivoire,0.485,0.457,0.206,,0.9467757252744421,
28,HRV,Croatia,0.402,0.457,,,0.9489932796711985,
29,CUB,Cuba,1.02,0.457,0.03,,0.9383463210498347,
30,CUW,Curacao,0.776,0.457,,,0.9413044906871308,
