,solute_smiles_1,solvent,membrane,solvent_smiles,solvent_viscosity,solvent_density,permeance,solute_diffusivity_1,solute_density_1,solute_mw_1,solute_solubility_1,solute_rejection_1,solute_molar_volume_1,solute_permeance_1,solute_cost_1,bnf_binary_energy,bnf_binary_recovery,bnf_binary_no_stages,bnf_binary_total_area,bnf_binary_productivity,bnf_binary_cost_EUR,bnf_binary_cost_USA,bnf_binary_cost_IND,bnf_binary_cost_CHN,bnf_binary_cost_membrane,bnf_binary_cost_waste
0,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.32188909074,10000,0.518286826,0.0002476069928769,2.128635258750128e-06,3159.26712,253885038.84197798,0.01390161382019302,5.0,30720.0,0.00014221350938057461,1279.0667006539504,1257.698043218084,1255.6528581829682,1253.6076731478522,80.21538644772828,1167.1862079728755
1,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.672051358928,10000,0.591318554,0.0005169625837907,1.4861095661767614e-06,237325.044,57916237.117529884,0.06093993567889465,4.0,10200.0,0.0006258603088264456,57167.39007555817,57162.51545893411,57162.048911468446,57161.582364002774,18.227248879931512,57141.93938488219
2,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.37165172124009,10000,0.88789471,0.0010551167086462,3.2884024796859845e-07,661244.518,6973169.597979716,0.5061416784884211,3.0,2520.0,0.005260017138729192,40327.85284956845,40327.26594112729,40327.209768372195,40327.1535956171,2.16875939986129,40324.8143809604
3,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.634309776684,10000,0.570970858,0.0004879305974492,1.5991646217157688e-06,41745.344,65276918.4285496,0.05406829626262281,4.0,10200.0,0.0005552877635931672,11440.249176278647,11434.755035644244,11434.229193801348,11433.703351958451,20.543783531683054,11411.563910420737
4,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.7801429473679999,10000,0.943538344,0.0006001099595138,1.6494840612323045e-07,,4511115.31383322,0.7823811893885823,2.0,600.0,0.008537343538608211,,,,,1.3362132566718932,
5,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.8602844603500001,10000,0.86111515,0.0006617572771923,4.208964308799965e-07,,8126383.523740939,0.4343151851490681,3.0,2520.0,0.004513568857472982,,,,,2.5274260730869345,
6,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.5694589867519992,10000,0.88415018,0.0012072761436553,3.382913570614112e-07,,7126083.557056681,0.49528071576018,3.0,2520.0,0.0051471458765477,,,,,2.2163179141722353,
7,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.6261404684960001,10000,0.7172535760000001,0.0004816465142276,9.540171230795822e-07,363126.29,17354325.403640512,0.20337360759442125,3.0,2520.0,0.002113536005781262,88906.7527437244,88905.29208800293,88905.15228927051,88905.0124905381,5.397453169402524,88899.19082052549
8,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.034612362656,10000,0.919958374,0.0007958556635815,2.346156167633235e-07,50935.5469,4974381.333801235,0.7095177325315425,2.0,600.0,0.007742257497384193,5215.449514639785,5215.03083754419,5214.990766139001,5214.950694733812,1.4734347981715468,5213.355663947481
9,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.356067008392,10000,0.401711172,0.000273897698763,2.979633010014852e-06,881.102232,3365535238.184214,0.0010486925600012684,7.0,245880.0,1.0722889103118096e-05,2030.0483458298702,1746.782463282699,1719.671207197326,1692.5599511119533,1063.8654846978868,546.4258272584523
10,O=C([O-][Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.68909961313591,10000,0.915182592,0.0005300766254891,2.522850344160169e-07,,5072101.876652666,0.6958479641254994,2.0,600.0,0.007593092984537452,,,,,1.5023800757189523,
11,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.63008576022,10000,0.927839392,0.0004846813540153,2.1362833464809046e-07,,4815865.505476265,0.7328717466657826,2.0,600.0,0.007997096499617022,,,,,1.4264816753926548,
12,CC(O[Pd]([P](c1ccc(c2c(C(C)C)cc(C(C)C)cc2C(C)C)cc1)(C3CCCCC3)C4CCCCC4)(OC(C)=O)[P](c5ccc(c6c(C(C)C)cc(C(C)C)cc6C(C)C)cc5)(C7CCCCC7)C8CCCCC8)=O,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.1766444710679995,10000,0.951229964,0.0009051111315907,1.40884570878985e-07,261180.612,4367007.532492439,0.8081991474586476,2.0,600.0,0.008819069097068765,15497.605603517872,15497.238047050554,15497.202868378765,15497.167689706976,1.2935278641644907,15495.767412769794
13,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.8461280189560001,10000,0.93867104,0.0006508677068892,1.792758261950832e-07,,4604089.388865389,0.7665819376229911,2.0,600.0,0.00836494210334208,,,,,1.3637526084600933,
14,CC(O[Pd]OC(C)=O)=O,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.223930094672,10000,0.698108796,0.0001722539189784,1.1363429654268158e-06,,19045959.704742696,0.18531026104329162,3.0,2520.0,0.0019258148271470465,,,,,5.923576582879524,
15,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.257939937704,10000,0.68544424,0.0001984153366953,1.1876608669580675e-06,908.56238,20236638.062094472,0.17440702125897448,3.0,2520.0,0.0018125042056932666,277.6225140281611,275.91926365793483,275.75624629576794,275.5932289336011,6.293895251231747,268.80466030751813
16,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.726132382684,10000,0.925866974,0.0005585633712953,2.1891319948979778e-07,,4855189.091145201,0.7269360056733433,2.0,600.0,0.007932325693907524,,,,,1.4381295036602182,
17,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.6001628573500001,10000,0.79952553,0.000461663736423,6.434361923001261e-07,103545.164,11392506.164834086,0.3098011722477995,3.0,2520.0,0.0032195718014933227,14422.830581772068,14421.871712503194,14421.779939536867,14421.688166570539,3.543238764782081,14417.866444321728
18,Cc1cc(C)c(N2CCN(C2=[Ru](Cl)(Cl)([P](C3CCCCC3)(C4CCCCC4)C5CCCCC5)=C6C=C(C7=CC=CC=C76)c8ccccc8)c9c(C)cc(C)cc9C)c(C)c1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.948361891498,10000,0.930873538,0.0007295091473061,2.0221300299589562e-07,621374.8059,4755897.804239558,0.7421126167933323,2.0,600.0,0.008097932874448845,53984.61822187004,53984.21793380485,53984.17962240587,53984.1413110069,1.4087189644464475,53982.61633676279
19,Cc1c([P]([Pd](OC(C)=O)([P](c2c(C)cccc2)(c3c(C)cccc3)c4c(C)cccc4)OC(C)=O)(c5c(C)cccc5)c6c(C)cccc6)cccc1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.832206269276,10000,0.910600012,0.0006401586686738,2.649561147738882e-07,232636.4235,5167260.968580669,0.6830333877399138,2.0,600.0,0.007453260327017941,26991.331194617913,26990.896283486392,26990.85465832859,26990.813033170787,1.5305666396352298,26989.156155707475
20,Cl[Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)(Cl)[P](c4ccccc4)(c5ccccc5)c6ccccc6,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.7000234655800001,10000,0.926021698,0.0005384795889076,2.1864882369981778e-07,58711.87059,4852092.719753763,0.727399901147189,2.0,600.0,0.007937387721318127,5502.751718208415,5502.343333737836,5502.3042474353715,5502.2651611329065,1.4372123441080933,5500.709342077871
21,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.6541353831160001,10000,0.72885933,0.0005031810639353,9.037281828843076e-07,,16387771.206661195,0.2153686258001497,3.0,2520.0,0.002238192804505937,,,,,5.0968404464907495,
22,Cl[Ru]1([P](c2ccccc2)(c(c3c4c([P]1(c5ccccc5)c6ccccc6)ccc7ccccc47)ccc8c3cccc8)c9ccccc9)Cl,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.794039978944,10000,0.946027826,0.000610799983803,1.5742643836645665e-07,,4464093.57646453,0.7906222627844427,2.0,600.0,0.008627270131503838,,,,,1.322285200204102,
23,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.988201250092,10000,0.927527926,0.000760154807763,2.120634743122684e-07,,4822121.690723245,0.7319209242470454,2.0,600.0,0.007986721125383761,,,,,1.4283347864487108,
24,COc1c(c2c(OC)cccc2[P](c3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)([Ir+][P]4(c5cc(C(C)(C)C)c(OC)c(C(C)(C)C)c5)c6cc(C(C)(C)C)c(OC)c(C(C)(C)C)c6)c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)c4ccc1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.34369319212809,10000,0.924376938,0.0010336101477908,2.1964707020438066e-07,,4885162.4491667,0.7224758237687512,2.0,600.0,0.007883656188964614,,,,,1.44700775117752,
