solute_smiles,source,ROMol,FP,TSNE_PCA_C1,TSNE_PCA_C2,size,alpha,edge,LV1,LV2
CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baaba00>,"MorganFP (1024 bits, dtype=uint8)",-445.61786,-19.823046,10,0.5,grey,-445.61786,-19.823046
CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baa9bd0>,"MorganFP (1024 bits, dtype=uint8)",-5.8351283,41.52449,10,0.5,grey,-5.8351283,41.52449
CC(C)OC1=CC=CC=C1C=[Ru](Cl)Cl.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baa8ac0>,"MorganFP (1024 bits, dtype=uint8)",159.63763,-211.64005,10,0.5,grey,159.63763,-211.64005
O=C(N(OC(C12CC3CC(CC(C2)C3)C1)=O)C4=O)C5=C4C=CC=C5,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baa9d20>,"MorganFP (1024 bits, dtype=uint8)",205.28503,-29.265385,10,0.5,grey,205.28503,-29.265385
C(C(=O)O)Br,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baa8ba0>,"MorganFP (1024 bits, dtype=uint8)",-126.04914,-67.80216,10,0.5,grey,-126.04914,-67.80216
CC(C)OC(=O)NC1=CC=CC=C1,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baabdf0>,"MorganFP (1024 bits, dtype=uint8)",-26.793232,-152.11859,10,0.5,grey,-26.793232,-152.11859
COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baaa650>,"MorganFP (1024 bits, dtype=uint8)",58.35597,-228.13902,10,0.5,grey,58.35597,-228.13902
O=CC1=CC=C([N+]([O-])=O)C=C1,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baaab90>,"MorganFP (1024 bits, dtype=uint8)",19.481726,262.89514,10,0.5,grey,19.481726,262.89514
O=C(NC1=C2CCC1)N(C3CCCCC3)C2=O,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baab840>,"MorganFP (1024 bits, dtype=uint8)",-130.42538,70.57313,10,0.5,grey,-130.42538,70.57313
CC1=CC(=O)NC(=N1)N,nf10k,<rdkit.Chem.rdchem.Mol object at 0x7c3a0baa9850>,"MorganFP (1024 bits, dtype=uint8)",88.32554,132.2706,10,0.5,grey,88.32554,132.2706
