fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.296655595798854,2.633083912664462,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.3222318453624786,0.3715949829131383,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.2262272006050794,0.2755816538272666,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.2376563312073838,0.27469211869325366,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.5966891477268361,0.4691599337929502,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,2.0928803252393537,0.9641830521626255,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.3985583729042381,0.30191826639202207,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.5829085109615657,0.37749950746627986,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.859472072751315,0.580269752916449,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.321625402101167,0.31630099938024425,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.441095221712168,0.4127581433305074,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.5686970378870537,0.5363641051349225,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.1472423431090608,0.2445608991570003,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.428297782586892,0.4082856309014442,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.1173145334665544,0.1412026073187146,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.0486453162852478,0.16394726059505293,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.2443482960047785,0.2978204635974828,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.2327854436435357,0.2958551295821168,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.1087260251143913,0.18719192753676678,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,3.484585166483317,3.3860922458027503,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.114575415729103,0.24960987573818338,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.5298882749958544,0.36520985280036716,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.1014999770868497,0.22074895152206267,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.350954424123309,0.27753902798287633,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
[*]C(F)(F)F,1.1155858731522659,0.23777534949384543,1.1088899999999986,0.19720469033187077,69.00500000000001,metal_catalyst
[*]C(F)(F)F,1.3597267892625013,0.2639026452087494,1.04283,0.11834885391173948,69.00500000000001,organocatalyst
[*]C12CC3CC(CC(C2)C3)C1,1.4377990165225536,0.35253524124656876,2.598909999999998,0.15401754914439264,135.23,metal_catalyst
[*]C12CC3CC(CC(C2)C3)C1,1.7555792789311186,0.5331935736970238,2.55336,0.12812462856314902,135.23,organocatalyst
[*]C1CCC2(CCCC2)CC1,2.3010920800884094,1.2106988491622412,3.219510000000001,0.10483265447581093,137.246,metal_catalyst
[*]C1CCC2(CCCC2)CC1,1.8846685703902986,0.6328210363183825,3.2171600000000007,0.06493258384235533,137.246,organocatalyst
[*]C1CCCCC1,1.3093300909118288,0.2808339836786792,2.049209999999996,0.10483265447580906,83.15400000000001,metal_catalyst
