fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.366211218759485,0.2658938043999705,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.0555332216131714,0.09085987728173192,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.0735285865051343,0.09416595716183114,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.1013326799707361,0.099824707369409,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.1874639272598277,0.14549594523461182,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,1.1482364557280538,0.15158988780653862,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.0777341835190366,0.1270307820800508,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.103327648203203,0.14120286929914663,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.1335201543406779,0.1502990531339303,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.1542706788885737,0.12380266652413713,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.200958970941174,0.14029880868518962,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.2478146120805067,0.1562459889140401,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.1826744654127332,0.11162886291093387,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.1332735358604618,0.15012239429935512,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.1516956781920078,0.13899101446275985,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.0551046351683466,0.08401019081933403,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.103170444241169,0.11515432216583703,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.1504216900918098,0.12200749044621864,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.3750939707889847,0.19605601280888407,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.3573284667299854,0.33262776693884416,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.055015988130975,0.08898608488980554,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.056050455095368,0.0975151089989723,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.026612602031058,0.06614051615073636,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.1204445709792106,0.09723055041284588,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
