fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.137110132929942,0.39836435615708754,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.1817899525063258,0.08007005955384831,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.1637257989754786,0.07928138005778132,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.1453274491137235,0.07930990470652718,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.4116858295188295,0.13754773565360104,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,1.4171502555225026,0.14200386294344566,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.2489431244722744,0.12159613103457617,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.3551843012979028,0.15162110674055124,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.461329142847981,0.1839007083030031,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.3683441693271967,0.12868328532693193,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.5068930763381174,0.16933553075294103,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.647504879238025,0.21411706829859042,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.0286680685125063,0.09835975316363747,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.1988926598519674,0.1186001248763525,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.00303596065846,0.09197389079690514,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.0784072088156622,0.09375350569827028,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.3301175467993953,0.10811225120735016,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.2228947484336716,0.09371789520675637,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.0426601348599247,0.38384703313624047,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.2315601309999593,0.4097053275135134,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.1978452179999288,0.0950812164976224,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.1657346870127225,0.06262206189583137,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.1693974699091791,0.08655793790037944,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.1580541280417775,0.07553612874186158,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
[*]C(F)(F)F,1.150174037971954,0.09598204678921173,1.1088899999999986,0.19720469033187077,69.00500000000001,metal_catalyst
[*]C(F)(F)F,1.140480860255493,0.063358232371157,1.04283,0.11834885391173948,69.00500000000001,organocatalyst
[*]C12CC3CC(CC(C2)C3)C1,1.3509838591439236,0.15150730052036157,2.598909999999998,0.15401754914439264,135.23,metal_catalyst
[*]C12CC3CC(CC(C2)C3)C1,1.4723877998937351,0.09379852459074307,2.55336,0.12812462856314902,135.23,organocatalyst
[*]C1CCC2(CCCC2)CC1,1.413782563659645,0.1820615309414248,3.219510000000001,0.10483265447581093,137.246,metal_catalyst
[*]C1CCC2(CCCC2)CC1,1.4205179473853602,0.09694924692738033,3.2171600000000007,0.06493258384235533,137.246,organocatalyst
[*]C1CCCCC1,1.2050426447059113,0.12608802708094732,2.049209999999996,0.10483265447580906,83.15400000000001,metal_catalyst
[*]C1CCCCC1,1.2928436042386375,0.10503861984799798,2.04686,0.06493258384235516,83.15400000000001,organocatalyst
[*]C1CCCCCCC1,1.3068150436718626,0.1568047101960627,2.8294099999999993,0.1048326544758106,111.20800000000001,metal_catalyst
[*]C1CCCCCCC1,1.4035535589239427,0.13691403801592575,2.82706,0.06493258384235524,111.20800000000001,organocatalyst
[*]C1CCCCCCCCC1,1.4100403401979533,0.19280740327274917,3.609610000000002,0.1048326544758114,139.262,metal_catalyst
[*]C1CCCCCCCCC1,1.512617945498009,0.16845271720907437,3.607260000000001,0.06493258384235548,139.262,organocatalyst
[*]CCCCCC,1.3925947363724054,0.1313177536670964,2.2563099999999965,0.1277560909615618,85.17,metal_catalyst
[*]CCCCCC,1.3440936022819876,0.1280917200178952,2.2337100000000003,0.15069936555200975,85.17,organocatalyst
[*]CCCCCCCC,1.537739308903618,0.167497739527993,3.03651,0.1277560909615618,113.224,metal_catalyst
[*]CCCCCCCC,1.4760468437726164,0.17425609555403693,3.01391,0.15069936555201055,113.224,organocatalyst
[*]CCCCCCCCCC,1.6839828058563302,0.20725568077657863,3.8167100000000027,0.12775609096155988,141.27800000000002,metal_catalyst
[*]CCCCCCCCCC,1.6110269526197196,0.22555344827630944,3.794110000000001,0.1506993655520107,141.27800000000002,organocatalyst
