fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.2809833523742966,0.6483660315482568,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.1482393936326158,0.21614676204182814,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.1714703809442826,0.24911609309400945,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.0875792417811962,0.1652467897518547,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.135911321220803,0.2558147970378576,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,1.1170243245502434,0.2639005162395541,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.1181561104846236,0.22737859174346955,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.1124619138178102,0.23901635544059097,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.1091272361775613,0.25550905974777277,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.18565336201703,0.28193184781881697,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.1914401362731224,0.2880187240652273,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.2008745753246253,0.3197211468205209,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.1559438501386534,0.15517576146616768,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.2613756059885717,0.40794994074278534,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.1476230373457437,0.17066895860716658,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.0482469087954764,0.13541387642173114,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.162994363093229,0.24970044536882127,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.2015627528836783,0.30303360440239274,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.0102617261818836,0.11171909904252715,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.5517049785667099,0.843870534755968,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.0920059282401424,0.1344763320452035,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.204472859025089,0.2711436733866078,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.065549757558352,0.11361440140127646,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.2773910043302135,0.3052430852631727,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
[*]C(F)(F)F,1.0572670972530245,0.11394486782495306,1.1088899999999986,0.19720469033187077,69.00500000000001,metal_catalyst
[*]C(F)(F)F,1.1178913863093682,0.20645045429078135,1.04283,0.11834885391173948,69.00500000000001,organocatalyst
[*]C12CC3CC(CC(C2)C3)C1,1.0299325864939974,0.1093131572657166,2.598909999999998,0.15401754914439264,135.23,metal_catalyst
[*]C12CC3CC(CC(C2)C3)C1,1.2418900559476085,0.3181908679181237,2.55336,0.12812462856314902,135.23,organocatalyst
[*]C1CCC2(CCCC2)CC1,1.0132252327454587,0.11281425326342026,3.219510000000001,0.10483265447581093,137.246,metal_catalyst
[*]C1CCC2(CCCC2)CC1,1.220823416355028,0.3321976714270768,3.2171600000000007,0.06493258384235533,137.246,organocatalyst
[*]C1CCCCC1,1.0005920783636424,0.09919939976018924,2.049209999999996,0.10483265447580906,83.15400000000001,metal_catalyst
[*]C1CCCCC1,1.235720142605605,0.26190090036240055,2.04686,0.06493258384235516,83.15400000000001,organocatalyst
[*]C1CCCCCCC1,1.0032368304279766,0.10583090347281762,2.8294099999999993,0.1048326544758106,111.20800000000001,metal_catalyst
[*]C1CCCCCCC1,1.221686997207644,0.2879127080663274,2.82706,0.06493258384235524,111.20800000000001,organocatalyst
[*]C1CCCCCCCCC1,1.0129518089109246,0.1129026421452424,3.609610000000002,0.1048326544758114,139.262,metal_catalyst
[*]C1CCCCCCCCC1,1.2053026634441975,0.3232981762710765,3.607260000000001,0.06493258384235548,139.262,organocatalyst
[*]CCCCCC,1.0446851497393999,0.10942014740859785,2.2563099999999965,0.1277560909615618,85.17,metal_catalyst
[*]CCCCCC,1.3266215742946599,0.33417063407301145,2.2337100000000003,0.15069936555200975,85.17,organocatalyst
[*]CCCCCCCC,1.0516086901631931,0.10925029093301508,3.03651,0.1277560909615618,113.224,metal_catalyst
[*]CCCCCCCC,1.3312715823830517,0.3460352618169703,3.01391,0.15069936555201055,113.224,organocatalyst
[*]CCCCCCCCCC,1.0608666261271984,0.11051109416585836,3.8167100000000027,0.12775609096155988,141.27800000000002,metal_catalyst
[*]CCCCCCCCCC,1.3408825245220524,0.4000349691085836,3.794110000000001,0.1506993655520107,141.27800000000002,organocatalyst
[*]N,1.0666650120321743,0.08271129021690529,-0.4739199999999995,0.23759258686527504,16.023,metal_catalyst
[*]N,1.2452226882451327,0.16211319281036324,-0.4775700000000002,0.13783373276846578,16.023,organocatalyst
[*]N1CCCCC1,1.0212914943591314,0.10545231960953552,1.0056399999999983,0.2330056136662808,84.14200000000001,metal_catalyst
[*]N1CCCCC1,1.5014597176180122,0.46057338543645354,0.9781700000000004,0.11527913032673752,84.14200000000001,organocatalyst
[*]O,1.103908529574282,0.10261615504394664,-0.34783000000000014,0.24583721827438826,17.007,metal_catalyst
[*]O,1.1913375451172052,0.21613785054167708,-0.3419000000000003,0.25522088037184143,17.007,organocatalyst
[*]OC,1.0257457081588743,0.09354667343374751,0.10926000000000013,0.2482394328063131,31.034,metal_catalyst
[*]OC,1.0707481094320785,0.16980921942880595,0.053350000000000154,0.12799083517537063,31.034,organocatalyst
[*]c1ccccc1,1.0432060898017554,0.1084063026589147,1.4104699999999977,0.2569719139430496,77.106,metal_catalyst
[*]c1ccccc1,1.2827826363847021,0.2966299583022827,1.6966,0.1780374554849498,77.106,organocatalyst
[*]c1ccncc1,1.0225105549875873,0.09878533482320041,0.8054699999999986,0.25697191394305036,78.09399999999998,metal_catalyst
[*]c1ccncc1,1.3806149507797694,0.33594597279447,1.0916000000000001,0.17803745548494984,78.09399999999998,organocatalyst
