,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Acetonitrile,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(F)(F)F,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,858.7840000000002,8.823500000000003,858.7840000000002,8.823500000000003,0,0,0,0,0,0,1,0,1,0,0.932878,0.89058995,0.9779345,0.9287778,0.9708612,0.94020829,0.8962683083175336,0.9841482716824663
1,1,1,1,1,1,1,GMT-oNF-2,Acetonitrile,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,883.087,10.768099999999992,883.087,10.768099999999992,0,0,0,0,0,0,1,0,1,0,0.9573313,0.89899397,1.0,0.9571678,1.0,0.962698614,0.9111266920263631,1.014270535973637
2,2,2,2,2,2,2,GMT-oNF-2,Acetonitrile,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)(C)C,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,823.1169999999997,9.6596,823.1169999999997,9.6596,0,0,0,0,0,0,1,0,1,0,0.95115364,0.8964697,0.973086,0.9539999,0.994573,0.953856448,0.9085392081119148,0.9991736878880852
3,3,3,3,3,3,3,GMT-oNF-2,Acetonitrile,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)C,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,781.0359999999998,9.137300000000002,781.0359999999998,9.137300000000002,0,0,0,0,0,0,1,0,1,0,0.9504467,0.8857544,0.9906863,0.9455487,0.9872278,0.9519327800000001,0.8993628736122591,1.004502686387741
4,4,4,4,4,4,4,GMT-oNF-2,Acetonitrile,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]OC,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,744.871,5.792900000000006,744.871,5.792900000000006,0,0,0,0,0,0,1,0,1,0,0.93918777,0.8500341,0.95118386,0.9041858,0.977015,0.9243213060000001,0.8633555356502481,0.985287076349752
5,5,5,5,5,5,5,GMT-oNF-2,Acetonitrile,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCCCC,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,991.4409999999988,14.47609999999997,991.4409999999988,14.47609999999997,0,0,0,0,0,0,1,0,1,0,0.9478961,0.92260885,1.0,0.9404185,0.99852633,0.9618899559999999,0.9180148486416541,1.005765063358346
6,6,6,6,6,6,6,GMT-oNF-2,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,901.2309999999997,11.910199999999984,901.2309999999997,11.910199999999984,0,0,0,0,0,0,1,0,1,0,0.96047074,0.9069435,0.987394,0.9541439,1.0,0.9617904280000001,0.9170909087687843,1.0064899472312159
7,7,7,7,7,7,7,GMT-oNF-2,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,985.3929999999992,14.25079999999997,985.3929999999992,14.25079999999997,0,0,0,0,0,0,1,0,1,0,0.9551393,0.9311887,0.9942232,0.961135,1.0,0.96833724,0.9327885211585444,1.0038859588414555
8,8,8,8,8,8,8,GMT-oNF-2,Acetonitrile,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCC,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,907.2789999999992,12.135499999999984,907.2789999999992,12.135499999999984,0,0,0,0,0,0,1,0,1,0,0.9520972,0.90498126,0.9915821,0.9336486,0.99560255,0.9555823419999999,0.9076884451323461,1.0034762388676537
9,9,9,9,9,9,9,GMT-oNF-2,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,0.5,30,25,0.153,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccncc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,886.0509999999999,8.953100000000003,886.0509999999999,8.953100000000003,0,0,0,0,0,0,1,0,1,0,0.9744621,0.89798087,0.9947915,0.9407029,1.0,0.9615874740000001,0.9088140115509503,1.0143609364490498
