,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(F)(F)F,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,858.7840000000002,8.823500000000003,858.7840000000002,8.823500000000003,0,0,1,0,0,0,0,0,1,0,0.9598721,1.0,0.9900602,0.9093258,0.91934,0.95571962,0.9051565454016306,1.0062826945983694
1,1,1,1,1,1,1,PMPerformance,Toluene,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccccc1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,883.087,10.768099999999992,883.087,10.768099999999992,0,0,1,0,0,0,0,0,1,0,0.9543428,0.9697618,1.0,0.9214971,0.9655789,0.96223612,0.9270294553761234,0.9974427846238767
2,2,2,2,2,2,2,PMPerformance,Toluene,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)(C)C,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,823.1169999999997,9.6596,823.1169999999997,9.6596,0,0,1,0,0,0,0,0,1,0,0.9488116,0.97785276,0.9630275,0.8954731,0.93640757,0.9443145060000001,0.9053293357405024,0.9832996762594978
3,3,3,3,3,3,3,PMPerformance,Toluene,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)C,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,781.0359999999998,9.137300000000002,781.0359999999998,9.137300000000002,0,0,1,0,0,0,0,0,1,0,0.9502791,0.96891487,0.95532256,0.90894556,0.93934375,0.9445611680000001,0.9165390225947594,0.9725833134052408
4,4,4,4,4,4,4,PMPerformance,Toluene,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]OC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,744.871,5.792900000000006,744.871,5.792900000000006,0,0,1,0,0,0,0,0,1,0,0.899427,0.94127905,0.8621707,0.8916793,0.891818,0.8972748100000001,0.8619670396409925,0.9325825803590077
5,5,5,5,5,5,5,PMPerformance,Toluene,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCCCC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,991.4409999999988,14.47609999999997,991.4409999999988,14.47609999999997,0,0,1,0,0,0,0,0,1,0,0.96222186,0.9877634,0.9996638,0.90382814,0.9514686,0.9609891599999999,0.9146460970798345,1.0073322229201653
6,6,6,6,6,6,6,PMPerformance,Toluene,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCC1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,901.2309999999997,11.910199999999984,901.2309999999997,11.910199999999984,0,0,1,0,0,0,0,0,1,0,0.94892764,0.96956086,0.9944169,0.8920865,0.93488014,0.947974408,0.9002118581049318,0.9957369578950682
7,7,7,7,7,7,7,PMPerformance,Toluene,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCCCC1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,985.3929999999992,14.25079999999997,985.3929999999992,14.25079999999997,0,0,1,0,0,0,0,0,1,0,0.9686316,0.98416615,1.0,0.8911209,0.93975294,0.956734318,0.9034748281016814,1.0099938078983186
8,8,8,8,8,8,8,PMPerformance,Toluene,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,907.2789999999992,12.135499999999984,907.2789999999992,12.135499999999984,0,0,1,0,0,0,0,0,1,0,0.955165,0.9815401,0.99028873,0.8975821,0.9508338,0.9550819460000002,0.910039151204068,1.0001247407959324
9,9,9,9,9,9,9,PMPerformance,Toluene,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,0.5,30,25,0.717,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccncc1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,886.0509999999999,8.953100000000003,886.0509999999999,8.953100000000003,0,0,1,0,0,0,0,0,1,0,0.93842757,0.94234514,0.963958,0.9157118,0.94425005,0.940938512,0.9195622867916234,0.9623147372083766
