,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Acetonitrile,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(F)(F)F,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,858.7840000000002,8.823500000000003,858.7840000000002,8.823500000000003,0,0,0,0,0,1,0,0,1,0,0.66279715,0.7053224,0.7391611,0.6924391,0.75134254,0.710212458,0.6657992116959874,0.7546257043040125
1,1,1,1,1,1,1,SS336,Acetonitrile,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccccc1,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,883.087,10.768099999999992,883.087,10.768099999999992,0,0,0,0,0,1,0,0,1,0,0.72906595,0.7303717,0.7097678,0.71775204,0.78924346,0.7352401900000001,0.6963062781472101,0.77417410185279
2,2,2,2,2,2,2,SS336,Acetonitrile,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)(C)C,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,823.1169999999997,9.6596,823.1169999999997,9.6596,0,0,0,0,0,1,0,0,1,0,0.7355627,0.76163864,0.71215695,0.78381896,0.81505346,0.761646142,0.7116951953452041,0.811597088654796
3,3,3,3,3,3,3,SS336,Acetonitrile,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)C,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,781.0359999999998,9.137300000000002,781.0359999999998,9.137300000000002,0,0,0,0,0,1,0,0,1,0,0.72238183,0.729801,0.7160617,0.72367525,0.7910439,0.736592736,0.6983150740331847,0.7748703979668152
4,4,4,4,4,4,4,SS336,Acetonitrile,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]OC,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,744.871,5.792900000000006,744.871,5.792900000000006,0,0,0,0,0,1,0,0,1,0,0.6974242,0.6986156,0.56508195,0.6709675,0.737126,0.6738430500000001,0.5928685454553608,0.7548175545446394
5,5,5,5,5,5,5,SS336,Acetonitrile,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCCCC,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,991.4409999999988,14.47609999999997,991.4409999999988,14.47609999999997,0,0,0,0,0,1,0,0,1,0,0.7508657,0.7743261,0.7677931,0.69967794,0.7530584,0.749144248,0.7126939278558304,0.7855945681441696
6,6,6,6,6,6,6,SS336,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCC1,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,901.2309999999997,11.910199999999984,901.2309999999997,11.910199999999984,0,0,0,0,0,1,0,0,1,0,0.7400801,0.7264065,0.6931703,0.6874735,0.7348233,0.7163907399999999,0.6861245840716134,0.7466568959283865
7,7,7,7,7,7,7,SS336,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCCCC1,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,985.3929999999992,14.25079999999997,985.3929999999992,14.25079999999997,0,0,0,0,0,1,0,0,1,0,0.76100767,0.75218105,0.7216978,0.7092903,0.7425598,0.737347324,0.710722927228895,0.7639717207711051
8,8,8,8,8,8,8,SS336,Acetonitrile,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCC,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,907.2789999999992,12.135499999999984,907.2789999999992,12.135499999999984,0,0,0,0,0,1,0,0,1,0,0.7347234,0.75477505,0.7328631,0.6975047,0.75678265,0.73532978,0.7057145120567077,0.7649450479432924
9,9,9,9,9,9,9,SS336,Acetonitrile,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,0.5,30,25,0.456,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccncc1,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,886.0509999999999,8.953100000000003,886.0509999999999,8.953100000000003,0,0,0,0,0,1,0,0,1,0,0.73150975,0.7110889,0.6697507,0.71253806,0.76707983,0.7183934479999999,0.6745108565623752,0.7622760394376247
