,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,FC(F)(F)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(F)(F)F)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(F)(F)F)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(F)(F)F,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,858.7840000000002,8.823500000000003,858.7840000000002,8.823500000000003,0,0,0,0,0,1,0,0,1,0,0.7964297,0.8122384,0.80371904,0.6998693,0.7837789,0.7792070680000001,0.722633267776743,0.8357808682232571
1,1,1,1,1,1,1,SS336,Ethanol,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,C1=CC=C(C2=CC=C3C(=C2)[Ir]24(<-N5=CC=CC=C35)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=CC=C5)C=C32)<-N2=C(C=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C24)C=C1,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccccc1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,883.087,10.768099999999992,883.087,10.768099999999992,0,0,0,0,0,1,0,0,1,0,0.7068759,0.78124386,0.81214315,0.7437599,0.81865615,0.772535792,0.7139306519355743,0.8311409320644257
2,2,2,2,2,2,2,SS336,Ethanol,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,CC(C)(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)(C)C)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)(C)C,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,823.1169999999997,9.6596,823.1169999999997,9.6596,0,0,0,0,0,1,0,0,1,0,0.7771194,0.80809474,0.7683688,0.8072495,0.83943784,0.8000540560000001,0.7649484171329332,0.8351596948670671
3,3,3,3,3,3,3,SS336,Ethanol,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,CC(C)C1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(C(C)C)C=C21)<-N1=C(C=CC=C1)C1=CC=C(C(C)C)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C(C)C,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,781.0359999999998,9.137300000000002,781.0359999999998,9.137300000000002,0,0,0,0,0,1,0,0,1,0,0.7420098,0.77727973,0.78110635,0.76835227,0.81644344,0.777038318,0.7437683528182768,0.8103082831817232
4,4,4,4,4,4,4,SS336,Ethanol,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,COC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(OC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(OC)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]OC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,744.871,5.792900000000006,744.871,5.792900000000006,0,0,0,0,0,1,0,0,1,0,0.7445444,0.71321976,0.7421409,0.6834562,0.7667968,0.730031612,0.6899850976707831,0.7700781263292169
5,5,5,5,5,5,5,SS336,Ethanol,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,CCCCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCCCC)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCCCC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,991.4409999999988,14.47609999999997,991.4409999999988,14.47609999999997,0,0,0,0,0,1,0,0,1,0,0.78779495,0.8254243,0.78881896,0.74086285,0.8202456,0.792629332,0.7507251172546224,0.8345335467453775
6,6,6,6,6,6,6,SS336,Ethanol,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCC5)C=C34)C3=CC(C4CCCCC4)=CC=C3C2=C1,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCC1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,901.2309999999997,11.910199999999984,901.2309999999997,11.910199999999984,0,0,0,0,0,1,0,0,1,0,0.6871577,0.8191925,0.7451893,0.690738,0.78484666,0.745424832,0.673607923646279,0.817241740353721
7,7,7,7,7,7,7,SS336,Ethanol,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6CCCCCCC6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5CCCCCCC5)C=C34)C3=CC(C4CCCCCCC4)=CC=C3C2=C1,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]C1CCCCCCC1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,985.3929999999992,14.25079999999997,985.3929999999992,14.25079999999997,0,0,0,0,0,1,0,0,1,0,0.6935244,0.83559453,0.7444493,0.6918049,0.7661313,0.746300886,0.6725153267389964,0.8200864452610036
8,8,8,8,8,8,8,SS336,Ethanol,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,CCCCCCC1=CC=C2C(=C1)[Ir]13(<-N4=CC=CC=C24)(<-N2=C(C=CC=C2)C2=CC=C(CCCCCC)C=C21)<-N1=C(C=CC=C1)C1=CC=C(CCCCCC)C=C13,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]CCCCCC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,907.2789999999992,12.135499999999984,907.2789999999992,12.135499999999984,0,0,0,0,0,1,0,0,1,0,0.7737582,0.8090905,0.7834109,0.7419487,0.81783044,0.785207748,0.7477499537885273,0.8226655422114728
9,9,9,9,9,9,9,SS336,Ethanol,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,C1=CC=N2->[Ir]34(<-N5=C(C=CC=C5)C5=CC=C(C6=CC=NC=C6)C=C53)(<-N3=C(C=CC=C3)C3=CC=C(C5=CC=NC=C5)C=C34)C3=CC(C4=CC=NC=C4)=CC=C3C2=C1,0.5,30,25,0.321,CF,[*]C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=C([*])C=C75)[N](C=CC=C8)=C8C9=CC=C([*])C=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,3,metal_catalyst,Ir-complex 1,[*]c1ccncc1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,886.0509999999999,8.953100000000003,886.0509999999999,8.953100000000003,0,0,0,0,0,1,0,0,1,0,0.7184799,0.79615635,0.80582964,0.7355685,0.80995494,0.773197866,0.7199616319816006,0.8264341000183993
