,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,OC1=C2C=C(C(F)(F)F)C=C1CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=CC(C(F)(F)F)=CC(=C1O)C2,OC1=C2C=C(C(F)(F)F)C=C1CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=CC(C(F)(F)F)=CC(=C1O)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(F)(F)F,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,696.484,9.260799999999993,696.484,9.260799999999993,0,0,1,0,0,0,0,0,1,0,0.7592389,0.84945947,0.8289447,0.9447272,0.86241806,0.8489576660000001,0.7661208700187683,0.931794461981232
1,1,1,1,1,1,1,PMPerformance,Toluene,OC1=C2C=C(C3=CC=CC=C3)C=C1CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=CC(C3=CC=CC=C3)=CC(=C1O)C2,OC1=C2C=C(C3=CC=CC=C3)C=C1CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=CC(C3=CC=CC=C3)=CC(=C1O)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]c1ccccc1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,728.888,11.85359999999998,728.888,11.85359999999998,0,0,1,0,0,0,0,0,1,0,0.78723425,0.90819013,0.8835981,0.9977262,0.90021247,0.8953922299999999,0.8022746475570766,0.9885098124429232
2,2,2,2,2,2,2,PMPerformance,Toluene,CC(C)(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)(C)C)=C1)CC1=CC(C(C)(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)(C)C)=C1)C2,CC(C)(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)(C)C)=C1)CC1=CC(C(C)(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)(C)C)=C1)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(C)(C)C,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,648.9280000000001,10.375599999999991,648.9280000000001,10.375599999999991,0,0,1,0,0,0,0,0,1,0,0.7522074,0.8284756,0.94801754,0.92985,0.8616893,0.864047968,0.7655720633021157,0.9625238726978844
3,3,3,3,3,3,3,PMPerformance,Toluene,CC(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)C)=C1)CC1=CC(C(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)C)=C1)C2,CC(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)C)=C1)CC1=CC(C(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)C)=C1)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(C)C,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,592.8200000000002,9.679199999999996,592.8200000000002,9.679199999999996,0,0,1,0,0,0,0,0,1,0,0.7313795,0.77720743,0.8277513,0.9700413,0.8751756,0.8363110260000001,0.7218834687919021,0.950738583208098
4,4,4,4,4,4,4,PMPerformance,Toluene,COC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(OC)=C1)CC1=CC(OC)=CC(=C1O)CC1=C(O)C(=CC(OC)=C1)C2,COC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(OC)=C1)CC1=CC(OC)=CC(=C1O)CC1=C(O)C(=CC(OC)=C1)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]OC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,544.6000000000003,5.220000000000006,544.6000000000003,5.220000000000006,0,0,1,0,0,0,0,0,1,0,0.691239,0.7546109,0.7172138,0.91597885,0.6698843,0.74978537,0.6279435129174799,0.8716272270825202
5,5,5,5,5,5,5,PMPerformance,Toluene,CCCCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCCCC)=C1)CC1=CC(CCCCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCCCC)=C1)C2,CCCCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCCCC)=C1)CC1=CC(CCCCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCCCC)=C1)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]CCCCCCCC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,873.3599999999994,16.79759999999996,873.3599999999994,16.79759999999996,0,0,1,0,0,0,0,0,1,0,0.69121134,0.9599048,0.84534687,0.97797453,0.9401635,0.882920208,0.7354771281831799,1.03036328781682
6,6,6,6,6,6,6,PMPerformance,Toluene,OC1=C2C=C(C3CCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=CC(C3CCCCC3)=CC(=C1O)C2,OC1=C2C=C(C3CCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=CC(C3CCCCC3)=CC(=C1O)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C1CCCCC1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,753.0799999999998,13.37639999999997,753.0799999999998,13.37639999999997,0,0,1,0,0,0,0,0,1,0,0.7527779,0.9581691,0.8001934,0.972756,0.9015399,0.87708726,0.7565591798777848,0.9976153401222153
7,7,7,7,7,7,7,PMPerformance,Toluene,OC1=C2C=C(C3CCCCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=CC(C3CCCCCCC3)=CC(=C1O)C2,OC1=C2C=C(C3CCCCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=CC(C3CCCCCCC3)=CC(=C1O)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C1CCCCCCC1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,865.2959999999993,16.497199999999957,865.2959999999993,16.497199999999957,0,0,1,0,0,0,0,0,1,0,0.69678986,0.96290326,0.8044108,0.97810113,0.90750754,0.869942518,0.722990961123193,1.016894074876807
8,8,8,8,8,8,8,PMPerformance,Toluene,CCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCC)=C1)CC1=CC(CCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCC)=C1)C2,CCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCC)=C1)CC1=CC(CCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCC)=C1)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]CCCCCC,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,761.144,13.676799999999972,761.144,13.676799999999972,0,0,1,0,0,0,0,0,1,0,0.7429582,0.9522401,0.8487115,0.973585,0.9259782,0.8886946,0.771766658951408,1.0056225410485922
9,9,9,9,9,9,9,PMPerformance,Toluene,OC1=C2C=C(C3=CC=NC=C3)C=C1CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=CC(C3=CC=NC=C3)=CC(=C1O)C2,OC1=C2C=C(C3=CC=NC=C3)C=C1CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=CC(C3=CC=NC=C3)=CC(=C1O)C2,0.5,30,25,0.717,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]c1ccncc1,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,732.84,9.433599999999998,732.84,9.433599999999998,0,0,1,0,0,0,0,0,1,0,0.79174125,0.8713712,0.8500143,0.9842676,0.890232,0.8775252699999999,0.7903674217643063,0.9646831182356935
