,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,scaffold_smarts,scaffold_basis,dummy_places,type,name,fragment_smiles,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,OC1=C2C=C(C(F)(F)F)C=C1CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=CC(C(F)(F)F)=CC(=C1O)C2,OC1=C2C=C(C(F)(F)F)C=C1CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=C(O)C(=CC(C(F)(F)F)=C1)CC1=CC(C(F)(F)F)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(F)(F)F,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,696.484,9.260799999999993,696.484,9.260799999999993,0,0,0,0,0,1,0,0,1,0,0.7969547,0.6844079,0.54594433,0.7944799,0.70364326,0.7050860179999999,0.5775705955537039,0.8326014404462959
1,1,1,1,1,1,1,SS336,Ethanol,OC1=C2C=C(C3=CC=CC=C3)C=C1CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=CC(C3=CC=CC=C3)=CC(=C1O)C2,OC1=C2C=C(C3=CC=CC=C3)C=C1CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=C(O)C(=CC(C3=CC=CC=C3)=C1)CC1=CC(C3=CC=CC=C3)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]c1ccccc1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,728.888,11.85359999999998,728.888,11.85359999999998,0,0,0,0,0,1,0,0,1,0,0.78911513,0.78867257,0.58096117,0.84372544,0.71864784,0.74422443,0.6182088122627898,0.8702400477372103
2,2,2,2,2,2,2,SS336,Ethanol,CC(C)(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)(C)C)=C1)CC1=CC(C(C)(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)(C)C)=C1)C2,CC(C)(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)(C)C)=C1)CC1=CC(C(C)(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)(C)C)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(C)(C)C,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,648.9280000000001,10.375599999999991,648.9280000000001,10.375599999999991,0,0,0,0,0,1,0,0,1,0,0.7349088,0.7089594,0.6615956,0.8697678,0.68385345,0.73181701,0.6301938101484905,0.8334402098515095
3,3,3,3,3,3,3,SS336,Ethanol,CC(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)C)=C1)CC1=CC(C(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)C)=C1)C2,CC(C)C1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(C(C)C)=C1)CC1=CC(C(C)C)=CC(=C1O)CC1=C(O)C(=CC(C(C)C)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C(C)C,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,592.8200000000002,9.679199999999996,592.8200000000002,9.679199999999996,0,0,0,0,0,1,0,0,1,0,0.8223861,0.7573823,0.6306252,0.8749131,0.7693361,0.77092856,0.6575833843459846,0.8842737356540153
4,4,4,4,4,4,4,SS336,Ethanol,COC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(OC)=C1)CC1=CC(OC)=CC(=C1O)CC1=C(O)C(=CC(OC)=C1)C2,COC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(OC)=C1)CC1=CC(OC)=CC(=C1O)CC1=C(O)C(=CC(OC)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]OC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,544.6000000000003,5.220000000000006,544.6000000000003,5.220000000000006,0,0,0,0,0,1,0,0,1,0,0.80562615,0.72003394,0.71072376,0.8788172,0.729346,0.76890941,0.6794417542454527,0.8583770657545473
5,5,5,5,5,5,5,SS336,Ethanol,CCCCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCCCC)=C1)CC1=CC(CCCCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCCCC)=C1)C2,CCCCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCCCC)=C1)CC1=CC(CCCCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCCCC)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]CCCCCCCC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,873.3599999999994,16.79759999999996,873.3599999999994,16.79759999999996,0,0,0,0,0,1,0,0,1,0,0.76247066,0.74677885,0.628083,0.83068466,0.7809305,0.7497895340000001,0.6566727292067288,0.8429063387932715
6,6,6,6,6,6,6,SS336,Ethanol,OC1=C2C=C(C3CCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=CC(C3CCCCC3)=CC(=C1O)C2,OC1=C2C=C(C3CCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCC3)=C1)CC1=CC(C3CCCCC3)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C1CCCCC1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,753.0799999999998,13.37639999999997,753.0799999999998,13.37639999999997,0,0,0,0,0,1,0,0,1,0,0.76583314,0.76619375,0.5908448,0.8385112,0.6938284,0.7310422580000001,0.6148358325224551,0.8472486834775451
7,7,7,7,7,7,7,SS336,Ethanol,OC1=C2C=C(C3CCCCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=CC(C3CCCCCCC3)=CC(=C1O)C2,OC1=C2C=C(C3CCCCCCC3)C=C1CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=C(O)C(=CC(C3CCCCCCC3)=C1)CC1=CC(C3CCCCCCC3)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]C1CCCCCCC1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,865.2959999999993,16.497199999999957,865.2959999999993,16.497199999999957,0,0,0,0,0,1,0,0,1,0,0.7606702,0.748512,0.5839529,0.8279543,0.67745805,0.71970949,0.604496486621885,0.8349224933781149
8,8,8,8,8,8,8,SS336,Ethanol,CCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCC)=C1)CC1=CC(CCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCC)=C1)C2,CCCCCCC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(CCCCCC)=C1)CC1=CC(CCCCCC)=CC(=C1O)CC1=C(O)C(=CC(CCCCCC)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]CCCCCC,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,761.144,13.676799999999972,761.144,13.676799999999972,0,0,0,0,0,1,0,0,1,0,0.7638237,0.75907326,0.6345508,0.8300555,0.78008896,0.753518444,0.6638640525291163,0.8431728354708837
9,9,9,9,9,9,9,SS336,Ethanol,OC1=C2C=C(C3=CC=NC=C3)C=C1CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=CC(C3=CC=NC=C3)=CC(=C1O)C2,OC1=C2C=C(C3=CC=NC=C3)C=C1CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=C(O)C(=CC(C3=CC=NC=C3)=C1)CC1=CC(C3=CC=NC=C3)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]c1ccncc1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,732.84,9.433599999999998,732.84,9.433599999999998,0,0,0,0,0,1,0,0,1,0,0.81166136,0.8490547,0.69201005,0.8663429,0.75509334,0.79483247,0.7059674618605837,0.8836974781394163
10,10,10,10,10,10,10,SS336,Ethanol,OC1=C2C=C(N3CCCCC3)C=C1CC1=C(O)C(=CC(N3CCCCC3)=C1)CC1=C(O)C(=CC(N3CCCCC3)=C1)CC1=CC(N3CCCCC3)=CC(=C1O)C2,OC1=C2C=C(N3CCCCC3)C=C1CC1=C(O)C(=CC(N3CCCCC3)=C1)CC1=C(O)C(=CC(N3CCCCC3)=C1)CC1=CC(N3CCCCC3)=CC(=C1O)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]N1CCCCC1,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,757.0319999999997,9.146800000000002,757.0319999999997,9.146800000000002,0,0,0,0,0,1,0,0,1,0,0.8150423,0.82818246,0.70757186,0.8770255,0.6998546,0.785535344,0.6884006663408261,0.882670021659174
11,11,11,11,11,11,11,SS336,Ethanol,OC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(O)=C1)CC1=CC(O)=CC(=C1O)CC1=C(O)C(=CC(O)=C1)C2,OC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(O)=C1)CC1=CC(O)=CC(=C1O)CC1=C(O)C(=CC(O)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]O,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,488.4920000000003,4.008000000000001,488.4920000000003,4.008000000000001,0,0,0,0,0,1,0,0,1,0,0.9036435,0.85750747,0.759482,0.95225155,0.8419725,0.8629714039999999,0.7734207638710422,0.9525220441289577
12,12,12,12,12,12,12,SS336,Ethanol,NC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(N)=C1)CC1=CC(N)=CC(=C1O)CC1=C(O)C(=CC(N)=C1)C2,NC1=CC2=C(O)C(=C1)CC1=C(O)C(=CC(N)=C1)CC1=CC(N)=CC(=C1O)CC1=C(O)C(=CC(N)=C1)C2,0.5,30,25,0.321,CF,Oc1c(Cc2cc([*])cc(C3)c2O)cc([*])cc1Cc4c(O)c(Cc5cc([*])cc3c5O)cc([*])c4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,4,organocatalyst,calix-arene,[*]N,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,484.55600000000027,3.514400000000001,484.55600000000027,3.514400000000001,0,0,0,0,0,1,0,0,1,0,0.8854804,0.9325347,0.8332689,0.95513994,0.8778453,0.8968538479999999,0.8372924103849885,0.9564152856150113
