,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,DM300,Ethanol,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,1,0,0,0,0,1,0,0.85502225,0.80150604,1.0,0.9566581,0.8772015,0.8980775779999999,0.7990641354481132,0.9970910205518866,,,,,
1,1,1,1,1,1,1,1,DM300,Ethanol,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,1,0,0,0,0,1,0,0.8705435,0.9153819,0.9450207,0.9246002,0.947865,0.92068226,0.8819680190894024,0.9593965009105978,,,,,
2,2,2,2,2,2,2,2,DM300,Ethanol,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,1,0,0,0,0,1,0,0.76974857,0.8499835,0.90864986,0.9212823,0.8675015,0.863433146,0.789023070136401,0.9378432218635988,,,,,
3,3,3,3,3,3,3,3,DM300,Ethanol,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,1,0,0,0,0,1,0,0.9149648,0.9566024,0.96925235,0.965064,0.9392332,0.94902335,0.921399543689526,0.976647156310474,,,,,
4,4,4,4,4,4,4,4,DM300,Ethanol,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,1,0,0,0,0,1,0,0.9103552,0.9949108,0.8669064,0.9687109,0.98211825,0.94460031,0.8773635080396358,1.0118371119603642,,,,,
5,5,5,5,5,5,5,5,DM300,Ethanol,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,1,0,0,0,0,1,0,1.0,0.9429965,1.0,0.9734824,0.9936653,0.98202884,0.9517547800582812,1.0123028999417187,,,,,
6,6,6,6,6,6,6,6,DM300,Ethanol,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,1,0,0,0,0,1,0,0.84070253,0.8470855,0.8818681,0.86011505,0.8947651,0.8649072560000001,0.8364191834183852,0.893395328581615,,,,,
7,7,7,7,7,7,7,7,DM300,Ethanol,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,1,0,0,0,0,1,0,0.7986185,0.41920885,0.576204,0.65049076,0.59119946,0.6071443139999999,0.4370402453948863,0.7772483826051135,,,,,
8,8,8,8,8,8,8,8,DM300,Ethanol,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,1,0,0,0,0,1,0,0.8966472,0.90996027,0.94842875,0.9533688,0.94621027,0.930923058,0.8989141717142523,0.9629319442857476,,,,,
9,9,9,9,9,9,9,9,DM300,Ethanol,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.078,CF,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,1,0,0,0,0,1,0,0.8830745,0.89920735,0.9190915,0.89311206,0.92879283,0.904655648,0.8812635278615067,0.9280477681384932,,,,,
