,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,DM300,Ethyl acetate,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,1,0,0,0,0,1,0,0.88275087,0.8666757,1.0,0.981092,0.94491214,0.935086142,0.8620337942180295,1.0081384897819703,,,,,
1,1,1,1,1,1,1,1,DM300,Ethyl acetate,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,1,0,0,0,0,1,0,0.91970336,0.9674705,0.9909859,0.9576471,0.99026954,0.96521528,0.9288791598222548,1.0015514001777452,,,,,
2,2,2,2,2,2,2,2,DM300,Ethyl acetate,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,1,0,0,0,0,1,0,0.8271271,0.8589699,0.8789584,0.94409037,0.9254695,0.886923054,0.8274581681335301,0.94638793986647,,,,,
3,3,3,3,3,3,3,3,DM300,Ethyl acetate,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,1,0,0,0,0,1,0,0.8907741,0.9481373,0.97529525,0.9435965,0.9643662,0.94443387,0.9039914894848476,0.9848762505151524,,,,,
4,4,4,4,4,4,4,4,DM300,Ethyl acetate,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,1,0,0,0,0,1,0,0.8586647,0.9758047,0.91663504,0.90890396,0.9113648,0.91427464,0.8626249376917651,0.965924342308235,,,,,
5,5,5,5,5,5,5,5,DM300,Ethyl acetate,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,1,0,0,0,0,1,0,0.8292036,0.88765824,0.9749637,0.8497978,0.9675143,0.901827528,0.8188918364674866,0.9847632195325136,,,,,
6,6,6,6,6,6,6,6,DM300,Ethyl acetate,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,1,0,0,0,0,1,0,0.7014119,0.7705473,0.8728705,0.86578107,0.8990406,0.821930274,0.7187363234991739,0.925124224500826,,,,,
7,7,7,7,7,7,7,7,DM300,Ethyl acetate,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,1,0,0,0,0,1,0,0.5724272,0.3389917,0.50909615,0.6257565,0.56513876,0.522282062,0.3850972718202744,0.6594668521797257,,,,,
8,8,8,8,8,8,8,8,DM300,Ethyl acetate,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,1,0,0,0,0,1,0,0.88485205,0.92511296,0.9137786,0.9581144,0.9558629,0.927544182,0.8895032959227694,0.9655850680772304,,,,,
9,9,9,9,9,9,9,9,DM300,Ethyl acetate,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,1,0,0,0,0,1,0,0.81210893,0.8753489,0.9126522,0.7672686,0.9040426,0.8542842460000001,0.7765514399162702,0.93201705208373,,,,,
10,0,0,0,0,0,0,0,DM300,Ethyl acetate,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,1,0,0,0,0,1,0,,,,,,0.750891436,0.6743671797425318,0.8274156922574681,0.7017559,0.7531354,0.71604234,0.7276577,0.85586584
11,1,1,1,1,1,1,1,DM300,Ethyl acetate,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,1,0,0,0,0,1,0,,,,,,0.369201784,0.2056240718664812,0.5327794961335188,0.48955622,0.3174911,0.45052347,0.16306028,0.42537785
12,2,2,2,2,2,2,2,DM300,Ethyl acetate,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,112.088,-1.553,112.088,-1.553,0,0,0,1,0,0,0,0,1,0,,,,,,0.306014256,0.2229554304735379,0.389073081526462,0.30106276,0.22794744,0.29803693,0.28996497,0.41305918
13,3,3,3,3,3,3,3,DM300,Ethyl acetate,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,1,0,0,0,0,1,0,,,,,,0.762688656,0.6970887455276534,0.8282885664723466,0.7050645,0.7617468,0.7406917,0.84832704,0.75761324
14,4,4,4,4,4,4,4,DM300,Ethyl acetate,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,1,0,0,0,0,1,0,,,,,,0.713684458,0.6919618811443614,0.7354070348556386,0.7080409,0.73516256,0.7114049,0.68910193,0.724712
15,5,5,5,5,5,5,5,DM300,Ethyl acetate,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,1,0,0,0,0,1,0,,,,,,0.488506748,0.3943198190220828,0.5826936769779172,0.5109296,0.4085933,0.6047293,0.43798864,0.4802929
16,6,6,6,6,6,6,6,DM300,Ethyl acetate,c1cccnc1,c1cccnc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,1,0,0,0,0,1,0,,,,,,0.135511333,-0.0399969807295765,0.3110196467295765,0.21125749,0.13417357,0.2316725,-0.108495295,0.2089484
17,7,7,7,7,7,7,7,DM300,Ethyl acetate,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,1,0,0,0,0,1,0,,,,,,0.700885128,0.6168516112865365,0.7849186447134635,0.6442737,0.7689223,0.63993824,0.672983,0.7783084
18,8,8,8,8,8,8,8,DM300,Ethyl acetate,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,1,0,0,0,0,1,0,,,,,,0.293653298,0.1501495163383985,0.4371570796616015,0.4201954,0.17820147,0.16703442,0.3251366,0.3776986
19,9,9,9,9,9,9,9,DM300,Ethyl acetate,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,1,0,0,0,0,1,0,,,,,,0.333776922,0.1449060605646749,0.522647783435325,0.51756483,0.3524738,0.27958912,0.11047876,0.4087781
