,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,0,0,0,1,0,1,0,0.5875332,0.4019984,0.8426924,0.5996328,0.73470235,0.63331183,0.426605423332776,0.840018236667224,,,,,
1,1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,0,0,0,1,0,1,0,0.93788165,0.8994907,0.9567213,0.83767396,0.88555557,0.903464636,0.8456047491241154,0.9613245228758848,,,,,
2,2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,0,0,0,1,0,1,0,0.8410679,0.84387195,0.92396915,0.82406527,0.7840246,0.8433997739999999,0.78009828913373,0.9067012588662696,,,,,
3,3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,0,0,0,1,0,1,0,0.8471627,0.9091433,0.8949065,0.7703273,0.87385243,0.859078446,0.790992786564765,0.9271641054352352,,,,,
4,4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,0,0,0,1,0,1,0,0.6970738,0.888118,0.7888483,0.85521114,0.8174621,0.809342668,0.7185233859249859,0.9001619500750141,,,,,
5,5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,0,0,0,1,0,1,0,0.9378147,0.9412589,1.0,0.7936338,0.97128785,0.92879905,0.8298916310674266,1.0277064689325732,,,,,
6,6,6,6,6,6,6,6,GMT-oNF-2,Ethanol,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,0,0,0,1,0,1,0,0.19069979,0.18210393,0.7307764,0.3610655,0.5387686,0.400682844,0.1085165148685531,0.6928491731314468,,,,,
7,7,7,7,7,7,7,7,GMT-oNF-2,Ethanol,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,0,0,0,1,0,1,0,0.19162488,0.09635174,0.3451779,0.26124892,0.2513047,0.2291416279999999,0.1146201546902911,0.3436631013097089,,,,,
8,8,8,8,8,8,8,8,GMT-oNF-2,Ethanol,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,0,1,0,1,0,0.5518572,0.75860435,0.78457355,0.6963314,0.79793954,0.7178612080000001,0.5928534162812135,0.8428689997187867,,,,,
9,9,9,9,9,9,9,9,GMT-oNF-2,Ethanol,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,0,0,0,1,0,1,0,0.7670668,0.87042475,0.8745779,0.69268376,0.9158995,0.824130542,0.7102554009210102,0.9380056830789898,,,,,
10,0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,0,1,0,1,0,,,,,,0.6273614980000001,0.5351550469258017,0.7195679490741984,0.66888905,0.70066273,0.54917866,0.6729791,0.54509795
11,1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,0,1,0,1,0,,,,,,0.33405646,0.0690425616748766,0.5990703583251236,0.623901,0.20904464,0.36641526,0.05926487,0.41165653
12,2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,112.088,-1.553,112.088,-1.553,0,0,0,0,0,0,1,0,1,0,,,,,,0.629130328,0.5754081458891372,0.6828525101108628,0.65511817,0.65018404,0.5548824,0.6271385,0.65832853
13,3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,0,1,0,1,0,,,,,,0.771638082,0.6867556784298973,0.8565204855701026,0.6549601,0.83064854,0.7802697,0.78349507,0.808817
14,4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,0,1,0,1,0,,,,,,0.542514232,0.4720688420727095,0.6129596219272906,0.5483246,0.55626184,0.48051107,0.62661505,0.5008586
15,5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,0,1,0,1,0,,,,,,0.553908048,0.4337265655945961,0.674089530405404,0.65744764,0.6142193,0.4021846,0.5445056,0.5511831
