,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,GMT-oNF-2,Toluene,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,0,0,0,1,0,1,0,0.21452072,-0.062045455,0.72000265,0.5749792,0.6922793,0.4279472829999999,0.0057678662999389,0.8501266997000609,,,,,
1,1,1,1,1,1,1,1,GMT-oNF-2,Toluene,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,0,0,0,1,0,1,0,0.83549017,0.6769531,0.92369795,0.91624415,0.9430846,0.8590939939999999,0.722755726119222,0.9954322618807776,,,,,
2,2,2,2,2,2,2,2,GMT-oNF-2,Toluene,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,0,0,0,1,0,1,0,0.6864872,0.57235235,0.78795815,0.9269546,0.8765776,0.77006598,0.5919023543082214,0.9482296056917788,,,,,
3,3,3,3,3,3,3,3,GMT-oNF-2,Toluene,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,0,0,0,1,0,1,0,0.6532737,0.53970444,0.7553924,0.79067945,0.8472179,0.717253578,0.5660025744272805,0.8685045815727195,,,,,
4,4,4,4,4,4,4,4,GMT-oNF-2,Toluene,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,0,0,0,1,0,1,0,0.5884435,0.7017089,0.84980905,0.35921782,0.35373816,0.570583486,0.3019869161269862,0.8391800558730137,,,,,
5,5,5,5,5,5,5,5,GMT-oNF-2,Toluene,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,0,0,0,1,0,1,0,0.56618994,0.6737958,0.8830445,0.2759485,0.8736605,0.6545278480000001,0.343035860707768,0.9660198352922322,,,,,
6,6,6,6,6,6,6,6,GMT-oNF-2,Toluene,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,0,0,0,1,0,1,0,0.49833894,0.26253313,0.65764135,0.39650673,0.6874898,0.5005019900000001,0.2791633310476912,0.7218406489523089,,,,,
7,7,7,7,7,7,7,7,GMT-oNF-2,Toluene,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,0,0,0,1,0,1,0,0.37308645,0.03190404,0.17650032,0.23664036,0.22606471,0.208839176,0.0562626725037682,0.3614156794962317,,,,,
8,8,8,8,8,8,8,8,GMT-oNF-2,Toluene,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,0,1,0,1,0,0.8797556,0.89348376,0.98428464,0.9335535,0.94811946,0.927839392,0.8754448540522058,0.980233929947794,,,,,
9,9,9,9,9,9,9,9,GMT-oNF-2,Toluene,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,0,0,0,1,0,1,0,0.58611757,0.53277636,0.4819655,0.21860436,0.49753422,0.4633996020000001,0.2863727463831934,0.6404264576168067,,,,,
