,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,SS336,Ethyl acetate,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,0,0,1,0,0,1,0,0.298302,0.42336625,0.315547,0.50238496,0.54897213,0.417714468,0.2801092748663145,0.5553196611336856,,,,,
1,1,1,1,1,1,1,1,SS336,Ethyl acetate,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,0,0,1,0,0,1,0,0.56338894,0.5623893,0.56238025,0.7601234,0.67038417,0.623733212,0.5127669156252526,0.7346995083747474,,,,,
2,2,2,2,2,2,2,2,SS336,Ethyl acetate,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,0,0,1,0,0,1,0,0.6338423,0.7422962,0.805688,0.84694266,0.8346257,0.7726789719999999,0.6640053093481767,0.8813526346518231,,,,,
3,3,3,3,3,3,3,3,SS336,Ethyl acetate,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,0,0,1,0,0,1,0,0.3983274,0.23621124,0.41477224,0.40873706,0.5354666,0.398702908,0.2663230968343418,0.5310827191656582,,,,,
4,4,4,4,4,4,4,4,SS336,Ethyl acetate,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,0,0,1,0,0,1,0,0.44063556,0.66382307,0.69740194,0.31022465,0.4738543,0.517187904,0.3164461018135283,0.7179297061864718,,,,,
5,5,5,5,5,5,5,5,SS336,Ethyl acetate,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,0,0,1,0,0,1,0,0.48014945,0.80639833,0.95585847,0.18435672,0.88495326,0.662343246,0.2608977161798761,1.063788775820124,,,,,
6,6,6,6,6,6,6,6,SS336,Ethyl acetate,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,0,0,1,0,0,1,0,0.19445726,0.20957333,0.77126414,0.29540566,0.44048208,0.382236494,0.08621727328259,0.67825571471741,,,,,
7,7,7,7,7,7,7,7,SS336,Ethyl acetate,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,0,0,1,0,0,1,0,0.17880729,0.12214336,0.27434888,0.33015716,0.22144407,0.225380152,0.1248542088891418,0.3259060951108581,,,,,
8,8,8,8,8,8,8,8,SS336,Ethyl acetate,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,1,0,0,1,0,0.59654725,0.80034626,0.8180669,0.74476635,0.79324126,0.7505936039999999,0.6384805046978401,0.8627067033021596,,,,,
9,9,9,9,9,9,9,9,SS336,Ethyl acetate,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,0,0,1,0,0,1,0,0.37718168,0.7632646,0.73174155,0.28457564,0.7518816,0.581729014,0.2941620901633046,0.8692959378366953,,,,,
10,0,0,0,0,0,0,0,SS336,Ethyl acetate,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,1,0,0,1,0,,,,,,0.471472506,0.3775172102127664,0.5654278017872336,0.48285362,0.54054797,0.47528574,0.5142991,0.3443761
11,1,1,1,1,1,1,1,SS336,Ethyl acetate,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,1,0,0,1,0,,,,,,0.1485966899999999,-0.0387166107523067,0.3359099907523067,0.32040727,0.08867255,0.2602865,-0.06431854,0.13793567
12,2,2,2,2,2,2,2,SS336,Ethyl acetate,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,112.088,-1.553,112.088,-1.553,0,0,0,0,0,1,0,0,1,0,,,,,,0.224931272,0.1408575612667841,0.3090049827332158,0.29325128,0.284622,0.22986948,0.1334953,0.1834183
13,3,3,3,3,3,3,3,SS336,Ethyl acetate,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,1,0,0,1,0,,,,,,0.537243808,0.4207485994549979,0.6537390165450022,0.60835195,0.5762227,0.49510524,0.6140628,0.39247635
14,4,4,4,4,4,4,4,SS336,Ethyl acetate,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,1,0,0,1,0,,,,,,0.354662868,0.2653505026382261,0.4439752333617739,0.3919896,0.39015725,0.34461898,0.41263574,0.23391277
15,5,5,5,5,5,5,5,SS336,Ethyl acetate,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,1,0,0,1,0,,,,,,0.280276542,0.1886088538903791,0.3719442301096208,0.32525226,0.32773173,0.34690815,0.21551648,0.18597409
16,6,6,6,6,6,6,6,SS336,Ethyl acetate,c1cccnc1,c1cccnc1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,1,0,0,1,0,,,,,,-0.0594427826,-0.1691201338113783,0.0502345686113783,-0.025572777,-0.023681521,0.02397585,-0.2070753,-0.064860165
17,7,7,7,7,7,7,7,SS336,Ethyl acetate,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,1,0,0,1,0,,,,,,0.427607618,0.3391824037199412,0.5160328322800589,0.4938149,0.49557358,0.37150717,0.43901247,0.33812997
18,8,8,8,8,8,8,8,SS336,Ethyl acetate,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,1,0,0,1,0,,,,,,0.110749012,0.0131726110896596,0.2083254129103404,0.18252647,0.20450991,0.02584207,0.05819571,0.0826709
19,9,9,9,9,9,9,9,SS336,Ethyl acetate,O=C1NCCN1,O=C1NCCN1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,1,0,0,1,0,,,,,,0.2096980397999999,0.0236796899550117,0.3957163896449882,0.42041752,0.28832477,0.034254253,0.121727616,0.18376604
