,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Acetonitrile,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,1,0,0,0,0,1,0,0.9661047,0.86380494,1.0,1.0,1.0,0.965981928,0.8927557487315042,1.039208107268496
1,1,1,1,1,1,1,DM300,Acetonitrile,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,1,0,0,0,0,1,0,0.9134375,0.9371128,0.99091226,0.9630935,1.0,0.9609112120000001,0.9159153389858732,1.005907085014127
2,2,2,2,2,2,2,DM300,Acetonitrile,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,1,0,0,0,0,1,0,0.7681898,0.8316252,0.96347654,0.9268253,0.9035009,0.878723548,0.7814553412764241,0.9759917547235758
3,3,3,3,3,3,3,DM300,Acetonitrile,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,1,0,0,0,0,1,0,0.94519734,0.99421984,1.0,0.9598253,1.0,0.979848496,0.9480686114315355,1.0116283805684645
4,4,4,4,4,4,4,DM300,Acetonitrile,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,1,0,0,0,0,1,0,0.9183556,0.9978019,0.92332196,0.9624591,0.9676461,0.9539169319999999,0.9127917450423462,0.9950421189576537
5,5,5,5,5,5,5,DM300,Acetonitrile,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,1,0,0,0,0,1,0,0.95823336,0.9292449,1.0,0.980185,0.9911797,0.9717685920000001,0.9364514554693528,1.0070857285306474
6,6,6,6,6,6,6,DM300,Acetonitrile,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,1,0,0,0,0,1,0,0.88610446,0.90943545,0.90717804,0.89544404,0.9393272,0.9074978380000001,0.8825103290046149,0.9324853469953852
7,7,7,7,7,7,7,DM300,Acetonitrile,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,1,0,0,0,0,1,0,0.8821453,0.57302827,0.6397308,0.7736016,0.70056415,0.713814024,0.5650803955010854,0.8625476524989147
8,8,8,8,8,8,8,DM300,Acetonitrile,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,1,0,0,0,0,1,0,0.8744266,0.8974205,0.9173049,0.969359,0.97385937,0.926474074,0.8719199069010041,0.981028241098996
9,9,9,9,9,9,9,DM300,Acetonitrile,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,1,0,0,0,0,1,0,0.89554346,0.9089591,0.9018676,0.86811167,0.9297539,0.9008471459999999,0.8730675256458248,0.9286267663541751
