,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethyl acetate,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,1,0,0,0,0,1,0,0.88275087,0.8666757,1.0,0.981092,0.94491214,0.935086142,0.8620337942180295,1.0081384897819703
1,1,1,1,1,1,1,DM300,Ethyl acetate,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,1,0,0,0,0,1,0,0.91970336,0.9674705,0.9909859,0.9576471,0.99026954,0.96521528,0.9288791598222547,1.0015514001777452
2,2,2,2,2,2,2,DM300,Ethyl acetate,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,1,0,0,0,0,1,0,0.8271271,0.8589699,0.8789584,0.94409037,0.9254695,0.886923054,0.8274581681335301,0.94638793986647
3,3,3,3,3,3,3,DM300,Ethyl acetate,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,1,0,0,0,0,1,0,0.8907741,0.9481373,0.97529525,0.9435965,0.9643662,0.9444338699999999,0.9039914894848475,0.9848762505151523
4,4,4,4,4,4,4,DM300,Ethyl acetate,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,1,0,0,0,0,1,0,0.8586647,0.9758047,0.91663504,0.90890396,0.9113648,0.91427464,0.8626249376917651,0.965924342308235
5,5,5,5,5,5,5,DM300,Ethyl acetate,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,1,0,0,0,0,1,0,0.8292036,0.88765824,0.9749637,0.8497978,0.9675143,0.9018275280000001,0.8188918364674866,0.9847632195325136
6,6,6,6,6,6,6,DM300,Ethyl acetate,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,1,0,0,0,0,1,0,0.7014119,0.7705473,0.8728705,0.86578107,0.8990406,0.821930274,0.7187363234991739,0.925124224500826
7,7,7,7,7,7,7,DM300,Ethyl acetate,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,1,0,0,0,0,1,0,0.5724272,0.3389917,0.50909615,0.6257565,0.56513876,0.522282062,0.3850972718202744,0.6594668521797257
8,8,8,8,8,8,8,DM300,Ethyl acetate,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,1,0,0,0,0,1,0,0.88485205,0.92511296,0.9137786,0.9581144,0.9558629,0.9275441819999999,0.8895032959227694,0.9655850680772303
9,9,9,9,9,9,9,DM300,Ethyl acetate,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.073,CF,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,1,0,0,0,0,1,0,0.81210893,0.8753489,0.9126522,0.7672686,0.9040426,0.8542842460000001,0.7765514399162702,0.93201705208373
