,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethyl acetate,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,0,0,0,1,0,1,0,0.034146965,0.25617042,0.18437639,0.35692546,0.33054924,0.23243369500000002,0.07135749139743333,0.3935098986025667
1,1,1,1,1,1,1,GMT-oNF-2,Ethyl acetate,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,0,0,0,1,0,1,0,0.25089097,0.23189276,0.2827765,0.6462117,0.49888128,0.382130642,0.15568772563375421,0.6085735583662458
2,2,2,2,2,2,2,GMT-oNF-2,Ethyl acetate,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,0,0,0,1,0,1,0,0.4206689,0.55302984,0.83181345,0.79401493,0.85433996,0.690773416,0.450940254873508,0.930606577126492
3,3,3,3,3,3,3,GMT-oNF-2,Ethyl acetate,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,0,0,0,1,0,1,0,0.303434,0.055193335,0.21648163,0.23427299,0.6049901,0.282874411,0.03238582809475188,0.5333629939052481
4,4,4,4,4,4,4,GMT-oNF-2,Ethyl acetate,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,0,0,0,1,0,1,0,0.5088929,0.53592026,0.48513988,0.22075018,0.40905884,0.43195241199999995,0.27405034100206216,0.5898544829979377
5,5,5,5,5,5,5,GMT-oNF-2,Ethyl acetate,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,0,0,0,1,0,1,0,0.6217688,0.82974946,0.99828553,0.19090492,0.92362994,0.7128677299999999,0.3103839401114077,1.1153515198885922
6,6,6,6,6,6,6,GMT-oNF-2,Ethyl acetate,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,0,0,0,1,0,1,0,0.14967102,0.19475207,0.6737794,0.30349284,0.46317807,0.35697468,0.0908153199524751,0.6231340400475249
7,7,7,7,7,7,7,GMT-oNF-2,Ethyl acetate,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,0,0,0,1,0,1,0,0.08114609,0.07123056,0.27271113,0.221508,0.2340379,0.176126736,0.060368221977832176,0.2918852500221678
8,8,8,8,8,8,8,GMT-oNF-2,Ethyl acetate,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,0,1,0,1,0,0.60868996,0.7263047,0.6826968,0.71819866,0.7640152,0.6999810639999999,0.6271608932566597,0.7728012347433402
9,9,9,9,9,9,9,GMT-oNF-2,Ethyl acetate,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,3.73,CF,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,0,0,0,1,0,1,0,0.3521762,0.7583065,0.5350454,0.14848667,0.7528002,0.509362994,0.1827124056067529,0.8360135823932471
