,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethanol,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,1,0,0,0,0,0,1,0,0.2598056,0.35442477,0.28001618,0.17068389,0.3603387,0.285053828,0.1884282066372262,0.3816794493627738
1,1,1,1,1,1,1,PMPerformance,Ethanol,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,1,0,0,0,0,0,1,0,0.6818156,0.8629847,0.78118867,0.65656656,0.6534024,0.727191586,0.6129733902236182,0.8414097817763818
2,2,2,2,2,2,2,PMPerformance,Ethanol,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,1,0,0,0,0,0,1,0,0.5007221,0.7477795,0.83563745,0.6335455,0.6493235,0.67340161,0.5165398127223917,0.8302634072776083
3,3,3,3,3,3,3,PMPerformance,Ethanol,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,1,0,0,0,0,0,1,0,0.32046342,0.75128335,0.4742542,0.22000301,0.40405312,0.43401142000000004,0.18423071030409896,0.6837921296959011
4,4,4,4,4,4,4,PMPerformance,Ethanol,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,1,0,0,0,0,0,1,0,0.3837865,0.7641214,0.51947004,0.4833346,0.37945187,0.506032882,0.3114118206051729,0.700653943394827
5,5,5,5,5,5,5,PMPerformance,Ethanol,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,1,0,0,0,0,0,1,0,0.7101834,0.6069006,0.97541976,0.07300618,0.77840954,0.6287838960000001,0.20838486709111703,1.049182924908883
6,6,6,6,6,6,6,PMPerformance,Ethanol,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,1,0,0,0,0,0,1,0,0.10433701,0.17707214,0.27798373,0.15367603,0.16518277,0.175650336,0.09674804621735424,0.25455262578264576
7,7,7,7,7,7,7,PMPerformance,Ethanol,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,1,0,0,0,0,0,1,0,0.21626016,0.09169328,0.20870811,0.27878216,0.07329813,0.173748368,0.06464286909862826,0.2828538669013717
8,8,8,8,8,8,8,PMPerformance,Ethanol,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,1,0,0,0,0,0,1,0,0.22874099,0.4632428,0.5086966,0.32556558,0.44547683,0.39434456000000007,0.2519682004677195,0.5367209195322806
9,9,9,9,9,9,9,PMPerformance,Ethanol,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.539,CF,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,1,0,0,0,0,0,1,0,0.33512476,0.6763867,0.49643785,0.24497262,0.45634776,0.44185393799999995,0.23749884396781384,0.646209032032186
