,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,1,0,0,0,0,0,1,0,0.74374396,0.80951035,0.5463587,0.7316184,0.82615936,0.731478154,0.5933891002250269,0.8695672077749732
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,1,0,0,0,0,0,1,0,0.8868557,0.9519349,0.9756658,0.82791305,0.883314,0.9051366900000002,0.8318407930534077,0.9784325869465926
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,1,0,0,0,0,0,1,0,0.7525191,0.7705604,0.86440885,0.8089949,0.83144176,0.8055850019999999,0.7494240399646526,0.8617459640353473
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,1,0,0,0,0,0,1,0,0.66791743,0.76139987,0.7996012,0.5140429,0.878777,0.72434768,0.5506291178773488,0.8980662421226513
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,1,0,0,0,0,0,1,0,0.42605445,0.8146552,0.604638,0.38854742,0.5041789,0.547614794,0.33568612923846053,0.7595434587615395
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,1,0,0,0,0,0,1,0,0.65344906,0.3914989,0.9422712,0.05749753,0.74065655,0.5570746480000001,0.13219718904016708,0.981952106959833
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,1,0,0,0,0,0,1,0,0.22160211,0.17221838,0.34518266,0.0976032,0.23510402,0.214342074,0.10155312086034,0.32713102713965997
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,1,0,0,0,0,0,1,0,0.22474983,0.07545188,0.1795409,0.21002671,0.12611768,0.1631774,0.0863270850796632,0.2400277149203368
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,1,0,0,0,0,0,1,0,0.63988185,0.7407279,0.67269576,0.47613382,0.8352696,0.672941786,0.5077821865824163,0.8381013854175837
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,1,0,0,0,0,0,1,0,0.37510395,0.6079009,0.4502649,0.3463468,0.59352946,0.47462920200000003,0.32401647669777867,0.6252419273022214
