,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,654.793,5.767100000000005,654.793,5.767100000000005,0,0,1,0,0,0,0,0,1,0,0.9157878,0.95775014,0.78557396,0.902227,0.9371226,0.8996923000000001,0.8162597192282254,0.9831248807717748
1,1,1,1,1,1,1,PMPerformance,Toluene,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,1,0,0,0,0,0,1,0,0.9708744,1.0,1.0,0.9479884,0.94882,0.97353656,0.9414489061632965,1.0056242138367035
2,2,2,2,2,2,2,PMPerformance,Toluene,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,1,0,0,0,0,0,1,0,0.87761223,0.755317,0.70612884,0.89077723,0.83932114,0.813831288,0.7143776479140354,0.9132849280859647
3,3,3,3,3,3,3,PMPerformance,Toluene,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,1,0,0,0,0,0,1,0,0.90343624,0.9057649,0.9326471,0.8741431,0.90799564,0.904797396,0.8789875837281977,0.9306072082718022
4,4,4,4,4,4,4,PMPerformance,Toluene,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,1,0,0,0,0,0,1,0,0.6505822,0.81741285,0.8357814,0.67001295,0.6620555,0.7271689800000001,0.6138561260090407,0.8404818339909594
5,5,5,5,5,5,5,PMPerformance,Toluene,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,1,0,0,0,0,0,1,0,0.59243965,0.32886118,0.6627948,0.09713724,0.7215409,0.48055475400000003,0.1556846234584202,0.8054248845415799
6,6,6,6,6,6,6,PMPerformance,Toluene,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,1,0,0,0,0,0,1,0,0.81416667,0.4015813,0.41840297,0.36064696,0.59555,0.51806958,0.28415384425701495,0.7519853157429851
7,7,7,7,7,7,7,PMPerformance,Toluene,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,1,0,0,0,0,0,1,0,0.6316179,0.05285546,0.08952597,0.1820465,0.09138274,0.209485714,-0.08943066633726499,0.5084020943372649
8,8,8,8,8,8,8,PMPerformance,Toluene,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,1,0,0,0,0,0,1,0,0.889117,0.87905663,0.92603666,0.9159384,0.93129057,0.908287852,0.8796711869792805,0.9369045170207194
9,9,9,9,9,9,9,PMPerformance,Toluene,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,1,0,0,0,0,0,1,0,0.6591607,0.42811272,0.44762275,0.35855132,0.37631345,0.45395218800000003,0.30450389192873034,0.6034004840712697
