,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Acetonitrile,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,1,0,0,0,0,1,0,0.900967,0.91291046,0.8932387,0.92875683,1.0,0.927174598,0.8739566138389511,0.980392582161049
1,1,1,1,1,1,1,DM300,Acetonitrile,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,1,0,0,0,0,1,0,0.7333056,0.50338846,0.6381122,0.27449542,0.60714924,0.5512901840000001,0.33382360371004655,0.7687567642899535
2,2,2,2,2,2,2,DM300,Acetonitrile,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,112.088,-1.553,112.088,-1.553,0,0,0,1,0,0,0,0,1,0,0.69182396,0.5163582,0.7359976,0.8072988,0.7224524,0.6947861919999999,0.5602385488198958,0.8293338351801041
3,3,3,3,3,3,3,DM300,Acetonitrile,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,1,0,0,0,0,1,0,0.8452761,0.9782943,0.96084636,0.9812814,0.98539025,0.9502176819999999,0.8764559818268861,1.0239793821731136
4,4,4,4,4,4,4,DM300,Acetonitrile,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,1,0,0,0,0,1,0,0.86439633,0.93323296,0.90044934,0.9280226,1.0,0.9252202460000001,0.8632078149475395,0.9872326770524606
5,5,5,5,5,5,5,DM300,Acetonitrile,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,1,0,0,0,0,1,0,0.83538723,0.78635,0.8743206,0.82029074,0.80655634,0.824580982,0.7834197433240297,0.8657422206759702
6,6,6,6,6,6,6,DM300,Acetonitrile,c1cccnc1,c1cccnc1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,1,0,0,0,0,1,0,0.5220402,0.23487133,0.48717007,0.37824374,0.4731577,0.419096608,0.2751467101596077,0.5630465058403923
7,7,7,7,7,7,7,DM300,Acetonitrile,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,1,0,0,0,0,1,0,0.81377375,0.940305,0.9190776,0.8999474,1.0,0.9146207499999999,0.8305109926885264,0.9987305073114734
8,8,8,8,8,8,8,DM300,Acetonitrile,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,1,0,0,0,0,1,0,0.41118905,0.44160944,0.48061034,0.7441029,0.6818113,0.5518646060000001,0.36472243395303816,0.739006778046962
9,9,9,9,9,9,9,DM300,Acetonitrile,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.519,CF,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,1,0,0,0,0,1,0,0.5728813,0.65964085,0.6669974,0.5083491,0.700935,0.62176073,0.5235961741870112,0.7199252858129888
