,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Acetonitrile,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,0,1,0,1,0,0.8964075,0.86518484,0.7552426,0.7963411,0.9849818,0.859631568,0.7485759699658417,0.9706871660341582
1,1,1,1,1,1,1,GMT-oNF-2,Acetonitrile,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,0,1,0,1,0,0.6676175,0.21356088,0.4474232,0.08666512,0.5260342,0.38826017999999995,0.09574229757662961,0.6807780624233704
2,2,2,2,2,2,2,GMT-oNF-2,Acetonitrile,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,112.088,-1.553,112.088,-1.553,0,0,0,0,0,0,1,0,1,0,0.7297345,0.44199285,0.68318015,0.7070185,0.83454275,0.6792937499999999,0.4996360775583468,0.858951422441653
3,3,3,3,3,3,3,GMT-oNF-2,Acetonitrile,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,0,1,0,1,0,0.9089699,0.944283,0.9337676,0.9267454,1.0,0.9427531800000001,0.8999299976609639,0.9855763623390362
4,4,4,4,4,4,4,GMT-oNF-2,Acetonitrile,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,0,1,0,1,0,0.79155827,0.68015516,0.6580608,0.67647153,0.8739728,0.7360437120000001,0.6201291918526294,0.8519582321473708
5,5,5,5,5,5,5,GMT-oNF-2,Acetonitrile,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,0,1,0,1,0,0.84804463,0.63864404,0.76140475,0.62626076,0.7358586,0.7220425560000001,0.607994766485699,0.8360903455143013
6,6,6,6,6,6,6,GMT-oNF-2,Acetonitrile,c1cccnc1,c1cccnc1,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,0,1,0,1,0,0.21709234,-0.059895396,0.083543986,-0.0767557,0.04392314,0.041581674000000006,-0.10647295019260036,0.1896362981926004
7,7,7,7,7,7,7,GMT-oNF-2,Acetonitrile,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,0,1,0,1,0,0.83017075,0.7823247,0.56392074,0.6664657,0.9336999,0.7553163580000001,0.5768014731959463,0.9338312428040538
8,8,8,8,8,8,8,GMT-oNF-2,Acetonitrile,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,0,1,0,1,0,0.40432364,0.20644736,0.20844597,0.6484642,0.5334134,0.40021891400000004,0.15681823182672844,0.6436195961732716
9,9,9,9,9,9,9,GMT-oNF-2,Acetonitrile,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.153,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,0,1,0,1,0,0.84226793,0.92011786,0.8459142,0.6804719,0.76702976,0.8111603300000001,0.6982538239789617,0.9240668360210385
