,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,0,1,0,1,0,0.66888905,0.70066273,0.54917866,0.6729791,0.54509795,0.6273614980000001,0.5351550469258017,0.7195679490741984
1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,0,1,0,1,0,0.623901,0.20904464,0.36641526,0.05926487,0.41165653,0.33405646000000006,0.0690425616748766,0.5990703583251236
2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,112.088,-1.553,112.088,-1.553,0,0,0,0,0,0,1,0,1,0,0.65511817,0.65018404,0.5548824,0.6271385,0.65832853,0.629130328,0.5754081458891372,0.6828525101108628
3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,0,1,0,1,0,0.6549601,0.83064854,0.7802697,0.78349507,0.808817,0.771638082,0.6867556784298973,0.8565204855701026
4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,0,1,0,1,0,0.5483246,0.55626184,0.48051107,0.62661505,0.5008586,0.542514232,0.4720688420727095,0.6129596219272906
5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,0,1,0,1,0,0.65744764,0.6142193,0.4021846,0.5445056,0.5511831,0.553908048,0.4337265655945961,0.674089530405404
6,6,6,6,6,6,6,GMT-oNF-2,Ethanol,c1cccnc1,c1cccnc1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,0,1,0,1,0,0.19673935,0.011101067,-0.085022986,-0.1454072,-0.080727875,-0.020663528799999997,-0.18676811364568044,0.14544105604568044
7,7,7,7,7,7,7,GMT-oNF-2,Ethanol,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,0,1,0,1,0,0.6170287,0.51029783,0.2844387,0.648952,0.6440299,0.540949426,0.3497820882855859,0.732116763714414
8,8,8,8,8,8,8,GMT-oNF-2,Ethanol,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,0,1,0,1,0,0.6925821,0.49367222,0.08676094,0.6443004,0.35600865,0.454664862,0.15104426579437757,0.7582854582056224
9,9,9,9,9,9,9,GMT-oNF-2,Ethanol,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.196,CF,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,0,1,0,1,0,0.7226161,0.81969357,0.6982073,0.5201799,0.5860138,0.669342134,0.5231235437145025,0.8155607242854974
