,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,0,1,0,1,0,0.74820757,0.6794188,0.69439733,0.7490351,0.29774922,0.633761604,0.39731388313347676,0.8702093248665232
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,0,1,0,1,0,0.45418322,0.069946975,0.23693472,0.063942134,0.051047117,0.1752108332,-0.04031112045963792,0.3907327868596379
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,112.088,-1.553,112.088,-1.553,0,0,0,0,0,0,1,0,1,0,0.3397483,0.19212428,0.19068325,0.21856773,0.044868678,0.1971984476,0.06689815969352367,0.32749873550647635
3,3,3,3,3,3,3,GMT-oNF-2,Toluene,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,0,1,0,1,0,0.6234637,0.58512306,0.6595739,0.78632796,0.2579607,0.582489864,0.33846506853117764,0.8265146594688224
4,4,4,4,4,4,4,GMT-oNF-2,Toluene,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,0,1,0,1,0,0.72379327,0.5980354,0.6685726,0.63857603,0.22425315,0.57064609,0.3235608975419215,0.8177312824580785
5,5,5,5,5,5,5,GMT-oNF-2,Toluene,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,0,1,0,1,0,0.533769,0.36643964,0.59268975,0.35442108,0.095579505,0.388579795,0.14793474638918752,0.6292248436108125
6,6,6,6,6,6,6,GMT-oNF-2,Toluene,c1cccnc1,c1cccnc1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,0,1,0,1,0,0.31933317,0.14400417,0.2034691,-0.053208888,-0.1201126,0.09869699039999999,-0.12742847738568777,0.3248224581856878
7,7,7,7,7,7,7,GMT-oNF-2,Toluene,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,0,1,0,1,0,0.7395899,0.6754031,0.624572,0.6012011,0.22407436,0.572968092,0.3219778690717343,0.8239583149282657
8,8,8,8,8,8,8,GMT-oNF-2,Toluene,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,0,1,0,1,0,0.3547442,0.13446456,0.098294735,0.236108,0.0015688539,0.16503606978,-0.002876833761344566,0.33294897332134454
9,9,9,9,9,9,9,GMT-oNF-2,Toluene,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.341,CF,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,0,1,0,1,0,0.4545628,0.13188654,0.3135357,0.18646511,0.018331766,0.22095638319999997,0.01196298582849703,0.4299497805715029
