,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Acetonitrile,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,1,0,0,0,0,0,1,0,0.2945227,0.24553564,0.45822313,0.23454863,0.20751062,0.288068144,0.16365792286864714,0.41247836513135294
1,1,1,1,1,1,1,PMPerformance,Acetonitrile,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,1,0,0,0,0,0,1,0,0.40669376,0.041313916,0.5077985,-0.058404922,0.094454825,0.1983712158,-0.10611705385247577,0.5028594854524757
2,2,2,2,2,2,2,PMPerformance,Acetonitrile,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,112.088,-1.553,112.088,-1.553,0,0,1,0,0,0,0,0,1,0,0.017350733,-0.022432983,0.08590299,0.06957972,0.120749205,0.05422993300000001,-0.01628546015889118,0.1247453261588912
3,3,3,3,3,3,3,PMPerformance,Acetonitrile,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,1,0,0,0,0,0,1,0,0.47735834,0.5211952,0.7664976,0.77374625,0.3032831,0.5684160979999999,0.31837136639396774,0.8184608296060321
4,4,4,4,4,4,4,PMPerformance,Acetonitrile,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000003,286.33,5.071200000000003,0,0,1,0,0,0,0,0,1,0,0.104669124,0.15251958,0.3875196,0.11977735,0.04114914,0.1611269588,-0.0038551813091061427,0.3261090989091061
5,5,5,5,5,5,5,PMPerformance,Acetonitrile,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,1,0,0,0,0,0,1,0,0.17943588,0.18714985,0.3112005,0.086117834,0.019176364,0.15661608559999998,0.018896186330401077,0.2943359848695989
6,6,6,6,6,6,6,PMPerformance,Acetonitrile,c1cccnc1,c1cccnc1,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,1,0,0,0,0,0,1,0,-0.26601887,-0.19714981,-0.05474913,-0.4879672,-0.3425076,-0.26967852200000003,-0.4702970681520351,-0.06905997584796497
7,7,7,7,7,7,7,PMPerformance,Acetonitrile,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,1,0,0,0,0,0,1,0,0.25962257,0.326948,0.3042997,0.06309992,0.23073381,0.2369408,0.10758682379240292,0.3662947762075971
8,8,8,8,8,8,8,PMPerformance,Acetonitrile,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,1,0,0,0,0,0,1,0,-0.009232104,-0.10817969,0.07859433,0.1940116,-0.08054471,0.014929885200000001,-0.13837739577869373,0.16823716617869372
9,9,9,9,9,9,9,PMPerformance,Acetonitrile,O=C1NCCN1,O=C1NCCN1,0.5,30,25,2.531,CF,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,1,0,0,0,0,0,1,0,0.3316946,0.5866224,0.352345,0.1304842,0.12010294,0.304249828,0.06629600959776574,0.5422036464022343
