,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,1,0,0,0,0,0,1,0,0.24885374,0.32220247,0.5250822,0.38029036,0.026359916,0.3005577372,0.07236944447755267,0.5287460299224473
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,1,0,0,0,0,0,1,0,0.23367482,0.038696527,0.45578638,-0.079367995,0.016279638,0.13301387399999998,-0.13180093544201504,0.397828683442015
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,112.088,-1.553,112.088,-1.553,0,0,1,0,0,0,0,0,1,0,-0.20935518,0.030536175,0.010946035,-0.359106,-0.083995104,-0.12219481480000001,-0.3245482388497125,0.0801586092497125
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,1,0,0,0,0,0,1,0,0.31474084,0.4949663,0.41822094,0.61862063,0.041547,0.377619142,0.10672093338026573,0.6485173506197344
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,1,0,0,0,0,0,1,0,0.03498751,0.20538217,0.2898342,0.1119414,-0.086553395,0.11111837699999998,-0.07062293919403902,0.292859693194039
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,1,0,0,0,0,0,1,0,-0.10814613,0.2411491,0.1346125,-0.1799407,-0.12775123,-0.008015292000000007,-0.2372585536857807,0.22122796968578068
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,c1cccnc1,c1cccnc1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,1,0,0,0,0,0,1,0,-0.54765683,-0.074965,-0.18885726,-0.49237698,-0.32821614,-0.326414442,-0.5736925400250641,-0.07913634397493602
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,1,0,0,0,0,0,1,0,0.15366808,0.5049114,0.18530035,0.11579502,-0.05341214,0.18125254200000002,-0.07084236212081024,0.4333474461208103
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,1,0,0,0,0,0,1,0,-0.089775324,0.015416145,-0.024607956,-0.21232486,-0.19688565,-0.10163552899999999,-0.22749720823482272,0.02422615023482276
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,O=C1NCCN1,O=C1NCCN1,0.5,30,25,2.036,CF,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,1,0,0,0,0,0,1,0,0.30276138,0.40381983,-0.037485063,-0.18923086,-0.14859748,0.0662535614,-0.26927261883638903,0.401779741636389
