,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,1,0,0,0,0,0,1,0,0.6187064,0.60878843,0.7541497,0.7741357,0.49056658,0.649269362,0.5045331146507314,0.7940056093492686
1,1,1,1,1,1,1,PMPerformance,Toluene,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,1,0,0,0,0,0,1,0,0.3990804,0.024379313,0.38419223,-0.010978043,0.13479787,0.186294354,-0.05593058223656322,0.4285192902365632
2,2,2,2,2,2,2,PMPerformance,Toluene,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,112.088,-1.553,112.088,-1.553,0,0,1,0,0,0,0,0,1,0,-0.12716693,0.066235244,0.19297823,-0.24742359,0.116087824,0.00014215559999999905,-0.22583885653128205,0.22612316773128205
3,3,3,3,3,3,3,PMPerformance,Toluene,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,1,0,0,0,0,0,1,0,0.4972915,0.5117726,0.5884582,0.7583636,0.39715952,0.5506090840000001,0.38345382907887804,0.7177643389211221
4,4,4,4,4,4,4,PMPerformance,Toluene,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000003,286.33,5.071200000000003,0,0,1,0,0,0,0,0,1,0,0.5164675,0.49630275,0.7372532,0.48450053,0.37768883,0.5224425619999999,0.35906127966758516,0.6858238443324147
5,5,5,5,5,5,5,PMPerformance,Toluene,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,1,0,0,0,0,0,1,0,0.114498794,0.27797514,0.49982396,-0.01744163,0.1739091,0.20975307280000002,-0.031311260659484585,0.45081740625948463
6,6,6,6,6,6,6,PMPerformance,Toluene,c1cccnc1,c1cccnc1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,1,0,0,0,0,0,1,0,-0.20477301,-0.023275077,0.06905633,-0.36977094,-0.086446404,-0.12304182020000001,-0.3342612139473488,0.08817757354734879
7,7,7,7,7,7,7,PMPerformance,Toluene,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,1,0,0,0,0,0,1,0,0.58097583,0.6761594,0.61533153,0.41876248,0.35742432,0.5297307119999999,0.36153408451255675,0.697927339487443
8,8,8,8,8,8,8,PMPerformance,Toluene,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,1,0,0,0,0,0,1,0,0.07738155,0.06419593,0.08288103,-0.13662243,0.062221766,0.030011569199999998,-0.08615545797689941,0.1461785963768994
9,9,9,9,9,9,9,PMPerformance,Toluene,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.717,CF,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,1,0,0,0,0,0,1,0,0.28688806,0.082255006,0.15557769,-0.26681668,0.053544343,0.06228968380000001,-0.1921251003453564,0.3167044679453564
