,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,1,0,0,1,0,0.8356309,0.8021947,0.7432701,0.8645059,0.6385985,0.7768400200000001,0.665743714446022,0.8879363255539782
1,1,1,1,1,1,1,SS336,Ethanol,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,1,0,0,1,0,0.6675221,0.20489305,0.3771487,0.015176058,0.43828052,0.3406040856,0.035149398675146826,0.6460587725248532
2,2,2,2,2,2,2,SS336,Ethanol,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,112.088,-1.553,112.088,-1.553,0,0,0,0,0,1,0,0,1,0,0.6656668,0.5547684,0.6142457,0.68732184,0.6861434,0.641629228,0.5710021392902451,0.7122563167097549
3,3,3,3,3,3,3,SS336,Ethanol,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,1,0,0,1,0,0.8460029,0.89740986,0.8435043,0.9263365,0.8252399,0.867698692,0.8150926727254494,0.9203047112745507
4,4,4,4,4,4,4,SS336,Ethanol,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,1,0,0,1,0,0.8609843,0.7411026,0.76078606,0.7931496,0.59870625,0.750945762,0.6311071221215879,0.870784401878412
5,5,5,5,5,5,5,SS336,Ethanol,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,1,0,0,1,0,0.7800408,0.6533111,0.7124331,0.6935931,0.60872126,0.6896198720000001,0.6096913108748154,0.7695484331251847
6,6,6,6,6,6,6,SS336,Ethanol,c1cccnc1,c1cccnc1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,1,0,0,1,0,0.2978327,0.08565915,0.19827446,-0.09832144,0.097011566,0.11609128719999999,-0.06707728321047464,0.29925985761047463
7,7,7,7,7,7,7,SS336,Ethanol,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,1,0,0,1,0,0.9185796,0.7612865,0.6720352,0.80968934,0.682013,0.768720728,0.64292340753846,0.89451804846154
8,8,8,8,8,8,8,SS336,Ethanol,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,1,0,0,1,0,0.81712866,0.53389806,0.27134427,0.68200755,0.4303182,0.546939348,0.2828346880494836,0.8110440079505163
9,9,9,9,9,9,9,SS336,Ethanol,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,1,0,0,1,0,0.6624585,0.5223332,0.63804394,0.4420021,0.60374045,0.573715638,0.46110087794761717,0.6863303980523829
