,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethyl acetate,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,1,0,0,1,0,0.48285362,0.54054797,0.47528574,0.5142991,0.3443761,0.471472506,0.3775172102127664,0.5654278017872336
1,1,1,1,1,1,1,SS336,Ethyl acetate,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,1,0,0,1,0,0.32040727,0.08867255,0.2602865,-0.06431854,0.13793567,0.14859668999999998,-0.038716610752306785,0.33590999075230676
2,2,2,2,2,2,2,SS336,Ethyl acetate,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,112.088,-1.553,112.088,-1.553,0,0,0,0,0,1,0,0,1,0,0.29325128,0.284622,0.22986948,0.1334953,0.1834183,0.224931272,0.14085756126678414,0.30900498273321586
3,3,3,3,3,3,3,SS336,Ethyl acetate,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,1,0,0,1,0,0.60835195,0.5762227,0.49510524,0.6140628,0.39247635,0.537243808,0.4207485994549979,0.6537390165450022
4,4,4,4,4,4,4,SS336,Ethyl acetate,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,1,0,0,1,0,0.3919896,0.39015725,0.34461898,0.41263574,0.23391277,0.354662868,0.2653505026382261,0.4439752333617739
5,5,5,5,5,5,5,SS336,Ethyl acetate,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,1,0,0,1,0,0.32525226,0.32773173,0.34690815,0.21551648,0.18597409,0.280276542,0.18860885389037915,0.37194423010962085
6,6,6,6,6,6,6,SS336,Ethyl acetate,c1cccnc1,c1cccnc1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,1,0,0,1,0,-0.025572777,-0.023681521,0.02397585,-0.2070753,-0.064860165,-0.0594427826,-0.1691201338113783,0.05023456861137831
7,7,7,7,7,7,7,SS336,Ethyl acetate,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,1,0,0,1,0,0.4938149,0.49557358,0.37150717,0.43901247,0.33812997,0.427607618,0.3391824037199412,0.5160328322800589
8,8,8,8,8,8,8,SS336,Ethyl acetate,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,1,0,0,1,0,0.18252647,0.20450991,0.02584207,0.05819571,0.0826709,0.11074901200000001,0.0131726110896596,0.2083254129103404
9,9,9,9,9,9,9,SS336,Ethyl acetate,O=C1NCCN1,O=C1NCCN1,0.5,30,25,1.0,CF,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,1,0,0,1,0,0.42041752,0.28832477,0.034254253,0.121727616,0.18376604,0.20969803979999999,0.023679689955011796,0.3957163896449882
