,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,solute_category,membrane,solvent,solute_smiles,pressure,temperature,process_configuration,permeance,substructure_smarts,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mean_sub_rejection_contribution
0,0,0,0,0,0,0,0,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ru]1([P](c2ccccc2)(c(c3c4c([P]1(c5ccccc5)c6ccccc6)ccc7ccccc47)ccc8c3cccc8)c9ccccc9)Cl,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,794.6640000000001,10.55289999999999,0,0,0,0,0,0,1,0,1,0,0.9228771,0.9423394,0.97892976,0.9077108,0.9565195,0.941675312,0.9070217306501523,0.9763288933498474,,,,,,,,,,,0.3558381618475014
1,1,1,1,1,1,1,1,metal_catalyst,GMT-oNF-2,Acetonitrile,CC1(C)c2c(Oc3c1cccc3[P](c4ccccc4)(c5ccccc5)[Pd+]67O[C-](C)C=C(O7)C)c([P]6(c8ccccc8)c9ccccc9)ccc2,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,784.1610000000002,9.035990000000004,0,0,0,0,0,0,1,0,1,0,0.8920109,0.8917439,0.9489978,0.8727237,0.9225186,0.90559898,0.8682090445887009,0.942988915411299,,,,,,,,,,,0.32960558942070717
2,2,2,2,2,2,2,2,metal_catalyst,GMT-oNF-2,Acetonitrile,COc1c(c2c(OC)cccc2[P](c3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)([Ir+][P]4(c5cc(C(C)(C)C)c(OC)c(C(C)(C)C)c5)c6cc(C(C)(C)C)c(OC)c(C(C)(C)C)c6)c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)c4ccc1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1343.804999999998,17.299099999999974,0,0,0,0,0,0,1,0,1,0,0.96125317,0.9830456,1.0,0.97098446,1.0,0.983056646,0.9615926974060144,1.0045205945939857,,,,,,,,,,,0.2234951828108278
3,3,3,3,3,3,3,3,metal_catalyst,GMT-oNF-2,Acetonitrile,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,670.9780000000002,5.228100000000005,0,0,0,0,0,0,1,0,1,0,0.88055754,0.87457347,0.9372518,0.9261675,0.9288963,0.909489322,0.8728564864619942,0.9461221575380058,,,,,,,,,,,0.3925500354205054
4,4,4,4,4,4,4,4,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,780.6470000000002,9.035990000000002,0,0,0,0,0,0,1,0,1,0,0.89160717,0.8915638,0.94861543,0.8715694,0.92175,0.90502116,0.8674602064210273,0.9425821135789728,,,,,,,,,,,0.3267659081353083
5,5,5,5,5,5,5,5,metal_catalyst,GMT-oNF-2,Acetonitrile,Cc1c([P]([Pd](OC(C)=O)([P](c2c(C)cccc2)(c3c(C)cccc3)c4c(C)cccc4)OC(C)=O)(c5c(C)cccc5)c6c(C)cccc6)cccc1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,833.2540000000001,8.765220000000003,0,0,0,0,0,0,1,0,1,0,0.90062,0.891689,0.9312616,0.93136907,0.94961584,0.920911102,0.8910974336040924,0.9507247703959076,,,,,,,,,,,0.3234607601353715
6,6,6,6,6,6,6,6,metal_catalyst,GMT-oNF-2,Acetonitrile,O=C([O-][Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,690.0480000000001,5.643300000000005,0,0,0,0,0,0,1,0,1,0,0.74896806,0.8461168,0.9354751,0.8252312,0.87927485,0.8470132020000001,0.7615401007831395,0.9324863032168608,,,,,,,,,,,0.3484416838448781
7,7,7,7,7,7,7,7,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,847.1960000000003,9.201500000000005,0,0,0,0,0,0,1,0,1,0,0.91618955,0.90687203,0.9771168,0.91677827,0.95823455,0.93503824,0.8968143997492416,0.9732620802507588,,,,,,,,,,,0.3184255270129543
8,8,8,8,8,8,8,8,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ru]1(Cl)[P](c(c2c3c([P]1(c4ccccc4)c5ccccc5)ccc6c3cccc6)ccc7c2cccc7)(c8ccccc8)c9ccccc9,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,794.6640000000001,10.552899999999994,0,0,0,0,0,0,1,0,1,0,0.9228771,0.94233936,0.97892976,0.9077108,0.9565195,0.941675304,0.9070217229455964,0.9763288850544036,,,,,,,,,,,0.356914372882753
9,9,9,9,9,9,9,9,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)(Cl)[P](c4ccccc4)(c5ccccc5)c6ccccc6,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,701.9100000000001,8.266100000000007,0,0,0,0,0,0,1,0,1,0,0.8341423,0.8632034,0.9095652,0.8927007,0.93319,0.8865603199999998,0.8383330195308412,0.9347876204691584,,,,,,,,,,,0.3917270655090782
