id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM300,membrane_GMT-oNF-2,membrane_NFX,membrane_PMPerformance,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source
0,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,COC(C=C1C(C)(C)C)=CC(C2=C(C(C(C)(C)C)=CC(OC)=C2)O[P]34OC5=CC=CC=C5C6=CC=CC=C6O3)=C1O[P]7([Rh+]84O[C-](C)C=C(O8)C)OC9=CC=CC=C9C%10=CC=CC=C%10O7,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,988.8130000000001,14.855389999999966,258.03499999999997,0.60719,0.01,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,cat
1,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,CC(C)(C1=CC=C2)C3=CC=CC([P](C4=CC=CC=C4)([Rh+]56O[C-](C)C=C(O5)C)C7=CC=CC=C7)=C3OC1=C2[P]6(C8=CC=CC=C8)C9=CC=CC=C9,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.97,780.6470000000002,9.035990000000002,258.03499999999997,0.60719,0.01,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.508638306165727,cat
2,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,CC(O[Rh+]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)O7)=C[C-]7C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.94,726.5990000000002,8.290990000000006,258.03499999999997,0.60719,0.01,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.2146701649892326,cat
3,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,O(C1=C(C=C(OC)C=C1C(C)(C)C)C2=C(OP3OC=4C(C=5C(O3)=CC=CC5)=CC=CC4)C(C(C)(C)C)=CC(OC)=C2)P6OC=7C(C=8C(O6)=CC=CC8)=CC=CC7,COC(C=C1C(C)(C)C)=CC(C2=C(C(C(C)(C)C)=CC(OC)=C2)O[P]34OC5=CC=CC=C5C6=CC=CC=C6O3)=C1O[P]7([Rh+]84O[C-](C)C=C(O8)C)OC9=CC=CC=C9C%10=CC=CC=C%10O7,ligand,0.98,786.7980000000002,14.856799999999966,988.8130000000001,14.855389999999966,0.2,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.6777807052660803,cat
4,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,P(C1=C2C(C(C)(C)C=3C(O2)=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC3)=CC=C1)(C6=CC=CC=C6)C7=CC=CC=C7,CC(C)(C1=CC=C2)C3=CC=CC([P](C4=CC=CC=C4)([Rh+]56O[C-](C)C=C(O5)C)C7=CC=CC=C7)=C3OC1=C2[P]6(C8=CC=CC=C8)C9=CC=CC=C9,ligand,0.95,578.6320000000002,7.634600000000009,780.6470000000002,9.035990000000002,0.2,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.2924298239020633,cat
5,300,87.0,-8.0,0,0,Toluene,2.0,30.0,25.0,CC1=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,CC(O[Rh+]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)O7)=C[C-]7C,ligand,0.66,262.292,3.4448000000000016,726.5990000000002,8.290990000000006,0.2,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,0.46724562100750233,cat
6,300,59.0,-37.5,0,0,Ethanol,0.09435,30.0,50.0,C(C)O,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,metal_catalyst,0.9802,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1,0,0,0,0,DM300,1,0,CF,1.6819366650372376,cat
7,300,87.0,-8.0,0,0,2-propanol,0.26,30.0,25.0,C(C)(C)O,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ligand,0.663,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,0.4710832997223453,cat
8,300,87.0,-8.0,0,0,Dimethyl carbonate,0.603333333,30.0,25.0,C(OC)(OC)=O,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ligand,0.581,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,1,0,0,0,GMT-oNF-2,1,0,CF,0.3767507096020995,cat
9,300,87.0,-8.0,0,0,n-Hexanal,0.806666667,30.0,25.0,C(CCC)CC=O,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ligand,0.389,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,0,1,0,0,0,GMT-oNF-2,1,0,CF,0.21324857785443882,cat
10,300,87.0,-8.0,0,0,n-Hexane,3.326666667,30.0,25.0,C(CCC)CC,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ligand,0.59,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,0,1,0,0,0,GMT-oNF-2,1,0,CF,0.3861581781239308,cat
11,300,87.0,-8.0,0,0,Toluene,1.93,30.0,25.0,CC1=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,ligand,0.905,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,GMT-oNF-2,1,0,CF,1.0177287669604316,cat
