,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_BW30,membrane_DM150,membrane_DM200,membrane_DM300,membrane_DM500,membrane_Desal5DL,membrane_GMT-NC,membrane_GMT-oNF-1,membrane_GMT-oNF-2,membrane_GMT-oNF-3,membrane_MPF50,membrane_NF270,membrane_NF90,membrane_NFX,membrane_PBI,membrane_PDMS,membrane_PEEK,membrane_PM280,membrane_PMPerformance,membrane_PMS600,membrane_PV46,membrane_SB90,membrane_SM122,membrane_SM228,membrane_SM240,membrane_SS126,membrane_SS136,membrane_SS150101,membrane_SS336,membrane_SS375,membrane_SS776,membrane_SS815,membrane_SeppurePT,membrane_TFC-SR2,membrane_TS40,membrane_XLE,membrane_CPA3,membrane_DDK,membrane_DK,membrane_Desal51HL,membrane_ES10C,membrane_ES20,membrane_ESPA1,membrane_ESPA2,membrane_ESPA3,membrane_HL,membrane_HR95,membrane_LC2,membrane_LE440,membrane_LF10,membrane_LFC1,membrane_NE90,membrane_NF,membrane_NF200,membrane_NF70,membrane_NTR729HF,membrane_NTR7450,membrane_PMS380,membrane_SB50,membrane_SW30XLE,membrane_SWC1,membrane_TS80,membrane_UTC20,membrane_UTC60,membrane_UTC70,membrane_VNF1,membrane_VNF2,membrane_X20,membrane_XLE440,membrane,process_configuration_CF,process_configuration_DE,process_configuration,membrane_configuration_FS,membrane_configuration_HF,membrane_configuration,corr_rejection,modified_corr_rejection,yj_corr_rejection,bc_corr_rejection,source,is_augmented,id_original,test_fold_rejection_model,train_mcmpnn_combi_id_organos_smino_7_fold0,val_mcmpnn_combi_id_organos_smino_7_fold0,test_mcmpnn_combi_id_organos_smino_7_fold0,rejection_mcmpnn_combi_id_organos_smino_7_fold0,train_mcmpnn_combi_id_organos_smino_7_fold1,val_mcmpnn_combi_id_organos_smino_7_fold1,test_mcmpnn_combi_id_organos_smino_7_fold1,rejection_mcmpnn_combi_id_organos_smino_7_fold1,train_mcmpnn_combi_id_organos_smino_7_fold2,val_mcmpnn_combi_id_organos_smino_7_fold2,test_mcmpnn_combi_id_organos_smino_7_fold2,rejection_mcmpnn_combi_id_organos_smino_7_fold2,train_mcmpnn_combi_id_organos_smino_7_fold3,val_mcmpnn_combi_id_organos_smino_7_fold3,test_mcmpnn_combi_id_organos_smino_7_fold3,rejection_mcmpnn_combi_id_organos_smino_7_fold3,train_mcmpnn_combi_id_organos_smino_7_fold4,val_mcmpnn_combi_id_organos_smino_7_fold4,test_mcmpnn_combi_id_organos_smino_7_fold4,rejection_mcmpnn_combi_id_organos_smino_7_fold4
0,243,600,-1.0,0.0,1,1,Acetonitrile,5.021,10.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.882,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-1,1,0,CF,1,0,FS,0.882,-0.8927900303521317,0.7270601241020651,36336832701400.375,cat,0,243,-1.0,0,0,1,0.39606947,0,0,1,0.18975061,0,0,1,0.4313504,0,0,1,0.34031293,0,0,1,0.37114355
1,244,600,-1.0,0.0,1,1,Acetonitrile,4.3745,20.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.906,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-1,1,0,CF,1,0,FS,0.906,-0.9829666607012196,0.8177001757845563,37490827248192.08,cat,0,244,-1.0,0,0,1,0.45711735,0,0,1,0.23479834,0,0,1,0.44198158,0,0,1,0.34519905,0,0,1,0.37223887
2,245,600,-1.0,0.0,1,1,Acetonitrile,3.768333333,30.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.937,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-1,1,0,CF,1,0,FS,0.937,-1.1366771398795446,0.9373271599047518,39031842984796.88,cat,0,245,-1.0,0,0,1,0.54829586,0,0,1,0.26286036,0,0,1,0.43984348,0,0,1,0.32747337,0,0,1,0.370454
3,246,300,87.0,-8.0,0,0,Acetonitrile,5.795,10.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.873,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1,0,FS,0.873,-0.8632794328435931,0.6935118795510554,35912663379085.31,cat,0,246,-1.0,0,0,1,0.7794276,0,0,1,0.5231053,0,0,1,0.81486934,0,0,1,0.5085158,0,0,1,0.22240984
4,247,300,87.0,-8.0,0,0,Acetonitrile,5.365,20.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.893,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1,0,FS,0.893,-0.9318141382538384,0.7683904031400054,36861585533097.94,cat,0,247,-1.0,0,0,1,0.848088,0,0,1,0.67321587,0,0,1,0.89050055,0,0,1,0.5342724,0,0,1,0.21065062
5,248,300,87.0,-8.0,0,0,Acetonitrile,4.531,30.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.925,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1,0,FS,0.925,-1.0705810742857076,0.8906776439709282,38428467273200.73,cat,0,248,-1.0,0,0,1,0.8821565,0,0,1,0.83374685,0,0,1,0.9539245,0,0,1,0.49532908,0,0,1,0.1899336
6,249,600,-1.0,0.0,1,1,Acetonitrile,0.313,10.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.923,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-3,1,0,CF,1,0,FS,0.923,-1.0604807473813818,0.882944822317973,38328751635172.78,cat,0,249,-1.0,0,0,1,0.35172248,0,0,1,0.31198195,0,0,1,0.38353908,0,0,1,0.31853136,0,0,1,0.3401875
7,250,600,-1.0,0.0,1,1,Acetonitrile,0.3575,20.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.954,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-3,1,0,CF,1,0,FS,0.954,-1.251811972993799,1.004157155325929,39901711196258.15,cat,0,250,-1.0,0,0,1,0.40662467,0,0,1,0.26854852,0,0,1,0.39841688,0,0,1,0.3127838,0,0,1,0.34194836
8,251,600,-1.0,0.0,1,1,Acetonitrile,0.389333333,30.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.983,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMT-oNF-3,1,0,CF,1,0,FS,0.983,-1.5686362358410124,1.120182117733466,41427314476794.44,cat,0,251,-1.0,0,0,1,0.49716565,0,0,1,0.23803362,0,0,1,0.4114526,0,0,1,0.30334565,0,0,1,0.3434336
9,252,200,34.0,-15.0,0,0,Acetonitrile,3.677248677,10.0,20.0,C(C)#N,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2CC)[C@H](N)C3=CC=NC4=CC=C(OC)C=C34,organocatalyst,0.979,325.45600000000013,3.3636000000000017,325.45600000000013,3.3636000000000017,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PBI,1,0,CF,1,0,FS,0.979,-1.5086383061657271,1.104026651359752,41213710755609.7,cat,0,252,-1.0,0,0,1,0.8838628,0,0,1,0.94766575,0,0,1,0.9612866,0,0,1,0.9179349,0,0,1,0.77403045
