,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-NC,membrane_GMT-oNF-2,membrane_NFX,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SB90,membrane_SM122,membrane_SS150101,membrane_SS336,membrane_SeppurePT,membrane_TS40,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_rejection_model,rejection_mcmpnn_combi_v03z_id_organos_smino_5_fold0,rejection_mcmpnn_combi_v03z_id_organos_smino_5_fold1,rejection_mcmpnn_combi_v03z_id_organos_smino_5_fold2,rejection_mcmpnn_combi_v03z_id_organos_smino_5_fold3,rejection_mcmpnn_combi_v03z_id_organos_smino_5_fold4
0,1505,150,59.0,0.0,0,1,Acetonitrile,0.177021216,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.991827474,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DM150,1,0,CF,2.0375110485400705,cat,0,1505,-1.0,0.9409132,1.0,0.9852307,0.9752039,0.91129625
1,1511,300,59.0,-37.5,0,0,Acetonitrile,0.51909254,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.99536983,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DM300,1,0,CF,2.2494784916589063,cat,0,1511,-1.0,0.99655855,1.0,1.0,0.9790441,0.92414355
2,1517,300,87.0,-8.0,0,0,Acetonitrile,0.153480228,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.927850553,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.135788952734245,cat,0,1517,-1.0,0.8725757,0.7798289,0.78448784,0.82993543,0.7992997
3,1523,300,-1.0,0.0,1,1,Acetonitrile,2.530907666,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.199982711,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PMPerformance,1,0,CF,0.096358110087715,cat,0,1523,-1.0,0.5552274,0.3667584,0.52308935,0.39350623,0.49511066
4,1529,200,-1.0,0.0,1,1,Acetonitrile,1.819539983,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.173252393,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GMT-NC,1,0,CF,0.0821020661098081,cat,0,1529,-1.0,0.40312874,0.33160758,0.40554953,0.38517123,0.31775683
5,1535,300,-1.0,0.0,1,1,Acetonitrile,3.30137418,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.346371093,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SS150101,1,0,CF,0.1840048210973665,cat,0,1535,-1.0,0.6292866,0.5389101,0.69362164,0.5028906,0.68153185
6,1541,500,82.0,0.0,0,1,Acetonitrile,0.45587198,20.0,21.0,C(C)#N,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.60087435,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.3978036073403225,cat,0,1541,-1.0,0.6690097,0.6493778,0.60788757,0.62195617,0.580973
7,1547,150,59.0,0.0,0,1,Ethanol,0.02,20.0,21.0,C(C)O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.995879927,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DM150,1,0,CF,2.290723846979024,cat,0,1547,-1.0,0.91935605,0.9459548,0.8751663,0.9662237,0.9087201
8,1553,300,59.0,-37.5,0,0,Ethanol,0.078074137,20.0,21.0,C(C)O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.995160849,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DM300,1,0,CF,2.2336502937812823,cat,0,1553,-1.0,0.97722495,1.0,1.0,1.0,0.9333656
9,1559,300,87.0,-8.0,0,0,Ethanol,0.195522762,20.0,21.0,C(C)O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,OC1=C(C2=CC=CC=C2)C=C3C=CC=CC3=[C@@]1[C@@]4=C5C=CC=CC5=CC(C6=CC=CC=C6)=C4O,organocatalyst,0.215245855,438.5260000000001,8.405200000000002,438.5260000000001,8.405200000000002,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.1047133193197627,cat,0,1559,-1.0,0.7385108,0.58172894,0.7011238,0.5379903,0.74484557
