,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-NC,membrane_GMT-oNF-2,membrane_NFX,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SB90,membrane_SM122,membrane_SS150101,membrane_SS336,membrane_SeppurePT,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_rejection_model,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_2_fold0,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_2_fold1,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_2_fold2,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_2_fold3,rejection_mcmpnn_combi_v05_id_organocatalysts_smino_2_fold4
0,509,300,-1.0,0.0,1,1,Ethanol,0.0141,10.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.176125245,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SeppurePT,1,0,CF,0.083611987621685,cat,0,509,-1.0,-0.0915007,-0.07233727,0.06220454,0.050508052,0.17258337
1,517,300,-1.0,0.0,1,1,Ethanol,0.0141,20.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.048594132,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SeppurePT,1,0,CF,-0.0210213940141082,cat,0,517,-1.0,-0.07502997,-0.097619,0.073084295,0.09065288,0.16553104
2,558,225,-1.0,0.0,1,1,Ethanol,0.24,10.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.264313919,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.1327175356588936,cat,0,558,-1.0,0.12897044,-0.049739897,0.23789644,0.11325747,0.23878682
3,565,200,-1.0,0.0,1,1,Ethanol,2.033857,10.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.122161895,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SB90,1,0,CF,0.0560911210363892,cat,0,565,-1.0,-0.12787646,-0.3114136,0.08407763,-0.1569584,0.0026199818
4,572,225,-1.0,0.0,1,1,Ethanol,0.24,20.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.423000987,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.2380729031867713,cat,0,572,-1.0,0.19440916,-0.062727034,0.288151,0.17707297,0.23632237
5,579,200,-1.0,0.0,1,1,Ethanol,2.033857,20.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.117226061,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SB90,1,0,CF,0.0536588091952775,cat,0,579,-1.0,-0.036929667,-0.2853042,0.07876867,-0.08900446,-0.053243697
6,586,225,-1.0,0.0,1,1,Ethanol,0.24,30.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.492746615,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NFX,1,0,CF,0.2939197202513093,cat,0,586,-1.0,0.27637503,-0.03969723,0.33978054,0.22387451,0.2833017
7,593,200,-1.0,0.0,1,1,Ethanol,2.033857,30.0,21.0,C(C)O,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,0.411508704,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SB90,1,0,CF,0.2295226029982007,cat,0,593,-1.0,0.06192887,-0.24472046,0.14920714,0.087979674,0.013481557
8,599,300,87.0,-8.0,0,0,Petroleum ether,3.650866078,30.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.085333915,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMT-oNF-2,0,1,DE,-0.0359633382841954,cat,0,599,-1.0,-0.026709437,-0.0040931106,0.022441864,0.026433706,-0.03616774
9,604,300,-1.0,0.0,1,1,Petroleum ether,1.418404367,30.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.092972501,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PMPerformance,0,1,DE,-0.0390064053483653,cat,0,604,-1.0,-0.044558585,-0.0505082,-0.032523334,0.1010057,0.025658429
10,609,500,82.0,0.0,0,1,Petroleum ether,0.762989989,30.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.020296814,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SS336,0,1,DE,-0.0091519771007196,cat,0,609,-1.0,-0.086171865,-0.13936496,0.015966594,-0.019135892,-0.04298252
11,614,300,87.0,-8.0,0,0,Petroleum ether,3.650866078,20.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.104975993,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMT-oNF-2,0,1,DE,-0.0437457000059452,cat,0,614,-1.0,-0.041816115,-0.019450009,-0.00870347,-0.0070956945,-0.032717824
12,619,300,-1.0,0.0,1,1,Petroleum ether,1.418404367,20.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.13443911,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PMPerformance,0,1,DE,-0.0551638493439094,cat,0,619,-1.0,-0.06350887,-0.0927341,-0.08939803,0.045789182,-0.00045377016
13,624,500,82.0,0.0,0,1,Petroleum ether,0.762989989,20.0,21.0,CCCCC,C1=CN=CC=C1,C1=CN=CC=C1,organocatalyst,-0.101702313,79.10199999999999,1.0816,79.10199999999999,1.0816,0.5,72.15,3.255,0.224,650.0,1.84,14.5,0.0,0.0,116.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SS336,0,1,DE,-0.0424582855402074,cat,0,624,-1.0,-0.10309148,-0.16856813,-0.020792782,-0.07274848,-0.064780354
