,id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM300,membrane_GMT-oNF-2,membrane_NFX,membrane_PMPerformance,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source,is_augmented,id_original,test_fold_mcmpnn_combi_v09_id_organocatalysts,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_2_fold0,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_2_fold1,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_2_fold2,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_2_fold3,rejection_mcmpnn_combi_v09_id_organocatalysts_smino_2_fold4
0,79,225,-1.0,0.0,1,1,Acetonitrile,0.36,30.0,21.0,C(C)#N,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.047,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,1,0,0,NFX,0,1,DE,0.0204516252959049,cat,0,79,-1.0,0.17352927,0.13407624,0.43332684,0.21947736,0.030156076
1,109,300,87.0,-8.0,0,0,Ethyl acetate,3.897707231,30.0,21.0,O(C(C)=O)CC,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,-0.028,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,1,0,0,0,GMT-oNF-2,0,1,DE,-0.0124153747624328,cat,0,109,-1.0,0.17226937,0.32188004,0.18574762,0.23852178,0.113297105
2,112,300,59.0,-37.5,0,0,Ethyl acetate,0.27,30.0,21.0,O(C(C)=O)CC,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.432183849,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1,0,0,0,0,DM300,0,1,DE,0.2450280807195802,cat,0,112,-1.0,0.6674473,0.62747455,0.5714531,0.6592722,0.7034044
3,115,500,82.0,0.0,0,1,Ethyl acetate,2.439741329,30.0,21.0,O(C(C)=O)CC,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.119,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,1,SS336,0,1,DE,0.0545314148681802,cat,0,115,-1.0,0.21292725,0.20295075,0.2911681,0.19355977,0.3673076
4,192,300,87.0,-8.0,0,0,Ethanol,0.195522762,30.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.102888673,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,GMT-oNF-2,0,1,DE,0.0466698262446243,cat,0,192,-1.0,0.03061086,0.10859519,0.11720458,0.10445419,0.1183331
5,195,500,82.0,0.0,0,1,Ethanol,0.320534523,30.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.769230769,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,SS336,0,1,DE,0.6349442202010589,cat,0,195,-1.0,0.31367078,0.52991784,0.3480752,0.5283231,0.412908
6,198,300,87.0,-8.0,0,0,Ethanol,0.195522762,20.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.067510549,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,GMT-oNF-2,0,1,DE,0.029890585479633,cat,0,198,-1.0,0.07525909,0.13480222,0.105591804,0.058166772,0.11835772
7,201,500,82.0,0.0,0,1,Ethanol,0.320534523,20.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.514767932,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,SS336,0,1,DE,0.31315640193822,cat,0,201,-1.0,0.23515403,0.44825423,0.30261305,0.40706956,0.43522906
8,204,300,87.0,-8.0,0,0,Ethanol,0.195522762,10.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.084388186,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,GMT-oNF-2,0,1,DE,0.0378145495329248,cat,0,204,-1.0,0.110313475,0.13289893,0.09266591,0.017478347,0.10984823
9,207,500,82.0,0.0,0,1,Ethanol,0.320534523,10.0,21.0,C(C)O,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,organocatalyst,0.423239208,360.4060000000002,2.948800000000001,360.4060000000002,2.948800000000001,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,1,SS336,0,1,DE,0.2382519335818257,cat,0,207,-1.0,0.13712242,0.33706582,0.2506856,0.2847607,0.4288996
