,RMSE,MAE
1-Heptanol,0.325940867894586,0.26432352803222225
Acetonitrile,0.08219420773760706,0.06017663032449999
Cyclohexane,0.03282389803877821,0.02771665568333333
Dimethylformamide,0.04584510301138342,0.03142657066666662
Ethanol,0.08187114697957948,0.06385221903333335
Ethyl acetate,0.11102807991113847,0.077838857225
Methanol,0.11076154369265365,0.09260905950000002
Octene-mix,0.03202400706581747,0.028194146749999954
Toluene,0.3588384786732408,0.25701769135083335
overall,0.20468312293151078,0.12333345329839417
hpo test,0.35410303223314826,0.2608831667889474
