,RMSE,MAE
1-Butanol,0.029652824000000022,0.029652824000000022
2-propanol,0.018011058000000024,0.018011058000000024
Acetonitrile,0.1071833940259839,0.06863696098905661
Dimethylformamide,0.10401528409758615,0.06599459462500001
Ethanol,0.15942800380007074,0.11154445328571427
Ethyl acetate,0.0925983771373484,0.0727700009625
Methanol,0.0992727723778657,0.06994049984615383
Octene-mix,0.02182914951241691,0.020715878999999993
Tetrahydrofuran,0.06763484255257902,0.06295133900000005
Toluene,0.09819889113550388,0.07915173679185185
overall,0.12279218637947559,0.08329834962340425
hpo test,0.1925464235718797,0.1404980664235294
